transcript	chromosomepeak type coordinate	peak size
CNAG_01093T0	chr5	unknown site	1228229	59863	
CNAG_03140T0	chr8	known 5' site	169223	130	
CNAG_03140T0	chr8	known 5' site	169338	102	
CNAG_03140T0	chr8	known 5' site	169630	148	
CNAG_03140T0	chr8	known 5' site	169757	67	
CNAG_03140T0	chr8	known 5' site	170196	48	
CNAG_03140T0	chr8	known 5' site	170367	78	
CNAG_03140T0	chr8	known 5' site	170492	124	
CNAG_03140T0	chr8	known 5' site	170720	134	
CNAG_03140T0	chr8	known 5' site	170815	126	
CNAG_03140T0	chr8	known 5' site	170934	90	
CNAG_03140T0	chr8	known 3' site	168936	38	
CNAG_03140T0	chr8	known 3' site	169171	41	
CNAG_03140T0	chr8	known 3' site	169285	69	
CNAG_03140T0	chr8	known 3' site	169582	16	
CNAG_03140T0	chr8	known 3' site	169709	46	
CNAG_03140T0	chr8	known 3' site	170144	52	
CNAG_03140T0	chr8	known 3' site	170315	16	
CNAG_03140T0	chr8	known 3' site	170442	23	
CNAG_03140T0	chr8	known 3' site	170669	34	
CNAG_03140T0	chr8	known 3' site	170761	107	
CNAG_03140T0	chr8	known 3' site	170875	46	
CNAG_03140T0	chr8	unknown site	168721	15	
CNAG_03140T0	chr8	unknown site	168736	12	
CNAG_03140T0	chr8	unknown site	168845	10	
CNAG_03140T0	chr8	unknown site	168882	12	
CNAG_03140T0	chr8	unknown site	169064	17	
CNAG_03140T0	chr8	unknown site	169352	12	
CNAG_03140T0	chr8	unknown site	169445	22	
CNAG_03140T0	chr8	unknown site	169508	28	
CNAG_03140T0	chr8	unknown site	169528	12	
CNAG_03140T0	chr8	unknown site	169547	9	
CNAG_03140T0	chr8	unknown site	169930	11	
CNAG_03140T0	chr8	unknown site	169949	25	
CNAG_03140T0	chr8	unknown site	170050	13	
CNAG_03140T0	chr8	unknown site	170089	13	
CNAG_03140T0	chr8	unknown site	170256	18	
CNAG_03140T0	chr8	unknown site	170549	10	
CNAG_03140T0	chr8	unknown site	170564	60	
CNAG_03140T0	chr8	unknown site	170636	12	
CNAG_03140T0	chr8	unknown site	170680	12	
CNAG_03140T0	chr8	unknown site	171067	58	
CNAG_03140T0	chr8	unknown site	171091	12	
CNAG_03140T0	chr8	unknown site	171137	28	
CNAG_03140T0	chr8	unknown site	171148	10	
CNAG_03140T0	chr8	unknown site	171198	10	
CNAG_03140T0	chr8	unknown site	171253	23	
CNAG_03140T0	chr8	unknown site	171278	38	
CNAG_06400T0	chr13	known 5' site	387927	40	
CNAG_06400T0	chr13	known 5' site	390181	94	
CNAG_06400T0	chr13	known 5' site	390588	70	
CNAG_06400T0	chr13	known 5' site	390870	363	
CNAG_06400T0	chr13	known 5' site	391018	143	
CNAG_06400T0	chr13	known 5' site	391134	71	
CNAG_06400T0	chr13	known 3' site	387871	87	
CNAG_06400T0	chr13	known 3' site	390538	102	
CNAG_06400T0	chr13	known 3' site	390761	200	
CNAG_06400T0	chr13	known 3' site	390959	123	
CNAG_06400T0	chr13	known 3' site	391077	184	
CNAG_06400T0	chr13	unknown site	390022	28	
CNAG_06400T0	chr13	unknown site	390456	22	
CNAG_06400T0	chr13	unknown site	390649	49	
CNAG_06400T0	chr13	unknown site	390837	39	
CNAG_06400T0	chr13	unknown site	391255	49	
CNAG_02129T0	chr6	known 5' site	1120471	377	
CNAG_02129T0	chr6	known 5' site	1120640	82	
CNAG_02129T0	chr6	known 5' site	1121741	180	
CNAG_02129T0	chr6	known 5' site	1122241	159	
CNAG_02129T0	chr6	known 5' site	1122599	145	
CNAG_02129T0	chr6	known 5' site	1122936	173	
CNAG_02129T0	chr6	known 5' site	1123159	149	
CNAG_02129T0	chr6	known 3' site	1120588	70	
CNAG_02129T0	chr6	known 3' site	1121684	21	
CNAG_02129T0	chr6	known 3' site	1122192	59	
CNAG_02129T0	chr6	known 3' site	1122542	47	
CNAG_02129T0	chr6	known 3' site	1122874	34	
CNAG_02129T0	chr6	known 3' site	1123094	79	
CNAG_02129T0	chr6	unknown site	1121376	87	
CNAG_02129T0	chr6	unknown site	1121410	21	
CNAG_02129T0	chr6	unknown site	1121910	32	
CNAG_02129T0	chr6	unknown site	1121964	27	
CNAG_02129T0	chr6	unknown site	1122755	46	
CNAG_02129T0	chr6	unknown site	1122773	26	
CNAG_02129T0	chr6	unknown site	1123173	43	
CNAG_02230T0	chr6	known 5' site	850932	22	
CNAG_02230T0	chr6	known 5' site	851027	114	
CNAG_02230T0	chr6	known 5' site	851414	51	
CNAG_02230T0	chr6	known 5' site	851510	45	
CNAG_02230T0	chr6	known 5' site	851704	49	
CNAG_02230T0	chr6	known 5' site	851947	49	
CNAG_02230T0	chr6	known 5' site	852106	134	
CNAG_02230T0	chr6	known 5' site	852292	33	
CNAG_02230T0	chr6	known 5' site	852431	35	
CNAG_02230T0	chr6	known 5' site	852689	33	
CNAG_02230T0	chr6	known 5' site	853016	49	
CNAG_02230T0	chr6	known 5' site	853118	58	
CNAG_02230T0	chr6	known 5' site	853222	62	
CNAG_02230T0	chr6	known 5' site	853371	23	
CNAG_02230T0	chr6	known 5' site	853487	48	
CNAG_02230T0	chr6	known 5' site	853629	55	
CNAG_02230T0	chr6	known 5' site	853746	43	
CNAG_02230T0	chr6	known 5' site	853909	34	
CNAG_02230T0	chr6	known 5' site	854067	56	
CNAG_02230T0	chr6	known 3' site	850863	13	
CNAG_02230T0	chr6	known 3' site	850964	12	
CNAG_02230T0	chr6	known 3' site	851369	58	
CNAG_02230T0	chr6	known 3' site	851642	12	
CNAG_02230T0	chr6	known 3' site	851810	17	
CNAG_02230T0	chr6	known 3' site	851899	43	
CNAG_02230T0	chr6	known 3' site	852381	11	
CNAG_02230T0	chr6	known 3' site	852643	29	
CNAG_02230T0	chr6	known 3' site	853058	24	
CNAG_02230T0	chr6	known 3' site	853178	56	
CNAG_02230T0	chr6	known 3' site	853316	11	
CNAG_02230T0	chr6	known 3' site	853433	25	
CNAG_02230T0	chr6	known 3' site	853584	10	
CNAG_02230T0	chr6	known 3' site	854000	35	
CNAG_02230T0	chr6	unknown site	850570	25	
CNAG_02230T0	chr6	unknown site	850686	14	
CNAG_02230T0	chr6	unknown site	850777	12	
CNAG_02230T0	chr6	unknown site	850822	28	
CNAG_02230T0	chr6	unknown site	851058	8	
CNAG_02230T0	chr6	unknown site	851126	15	
CNAG_02230T0	chr6	unknown site	851148	9	
CNAG_02230T0	chr6	unknown site	851181	38	
CNAG_02230T0	chr6	unknown site	851203	14	
CNAG_02230T0	chr6	unknown site	851263	15	
CNAG_02230T0	chr6	unknown site	851298	9	
CNAG_02230T0	chr6	unknown site	851328	14	
CNAG_02230T0	chr6	unknown site	851438	22	
CNAG_02230T0	chr6	unknown site	851483	8	
CNAG_02230T0	chr6	unknown site	851493	16	
CNAG_02230T0	chr6	unknown site	851724	15	
CNAG_02230T0	chr6	unknown site	851989	11	
CNAG_02230T0	chr6	unknown site	852051	10	
CNAG_02230T0	chr6	unknown site	852153	19	
CNAG_02230T0	chr6	unknown site	852176	9	
CNAG_02230T0	chr6	unknown site	852187	12	
CNAG_02230T0	chr6	unknown site	852520	14	
CNAG_02230T0	chr6	unknown site	852543	21	
CNAG_02230T0	chr6	unknown site	852734	10	
CNAG_02230T0	chr6	unknown site	852795	21	
CNAG_02230T0	chr6	unknown site	852879	26	
CNAG_02230T0	chr6	unknown site	852941	12	
CNAG_02230T0	chr6	unknown site	852963	24	
CNAG_02230T0	chr6	unknown site	853279	40	
CNAG_02230T0	chr6	unknown site	853511	9	
CNAG_02230T0	chr6	unknown site	853528	14	
CNAG_02230T0	chr6	unknown site	853655	10	
CNAG_02230T0	chr6	unknown site	853765	9	
CNAG_02230T0	chr6	unknown site	853808	8	
CNAG_02230T0	chr6	unknown site	854109	12	
CNAG_02230T0	chr6	unknown site	854151	13	
CNAG_02230T0	chr6	unknown site	854170	8	
CNAG_02230T0	chr6	unknown site	854179	15	
CNAG_02230T0	chr6	unknown site	854190	10	
CNAG_02230T0	chr6	unknown site	854255	24	
CNAG_02986T0	chr3	known 5' site	272942	348	
CNAG_02986T0	chr3	known 5' site	273070	287	
CNAG_02986T0	chr3	known 5' site	273229	402	
CNAG_02986T0	chr3	known 5' site	273446	278	
CNAG_02986T0	chr3	known 5' site	273617	275	
CNAG_02986T0	chr3	known 5' site	273722	383	
CNAG_02986T0	chr3	known 3' site	272885	61	
CNAG_02986T0	chr3	known 3' site	273000	30	
CNAG_02986T0	chr3	known 3' site	273155	97	
CNAG_02986T0	chr3	known 3' site	273380	69	
CNAG_02986T0	chr3	known 3' site	273542	194	
CNAG_02986T0	chr3	known 3' site	273669	168	
CNAG_02986T0	chr3	unknown site	272684	26	
CNAG_02986T0	chr3	unknown site	272810	75	
CNAG_02986T0	chr3	unknown site	273322	45	
CNAG_01577T0	chr11	known 5' site	338859	456	
CNAG_01577T0	chr11	known 5' site	339070	224	
CNAG_01577T0	chr11	known 5' site	339544	409	
CNAG_01577T0	chr11	known 5' site	339906	301	
CNAG_01577T0	chr11	known 5' site	340033	93	
CNAG_01577T0	chr11	known 5' site	340230	320	
CNAG_01577T0	chr11	known 5' site	340340	370	
CNAG_01577T0	chr11	known 3' site	338803	94	
CNAG_01577T0	chr11	known 3' site	339016	182	
CNAG_01577T0	chr11	known 3' site	339493	86	
CNAG_01577T0	chr11	known 3' site	339980	221	
CNAG_01577T0	chr11	known 3' site	340165	291	
CNAG_01577T0	chr11	known 3' site	340263	154	
CNAG_01577T0	chr11	unknown site	338450	28	
CNAG_01577T0	chr11	unknown site	338473	88	
CNAG_01577T0	chr11	unknown site	338535	37	
CNAG_01577T0	chr11	unknown site	339145	24	
CNAG_01577T0	chr11	unknown site	339222	27	
CNAG_01577T0	chr11	unknown site	339322	28	
CNAG_01577T0	chr11	unknown site	339379	33	
CNAG_01577T0	chr11	unknown site	339684	34	
CNAG_01577T0	chr11	unknown site	339695	37	
CNAG_01577T0	chr11	unknown site	339737	38	
CNAG_01984T0	chr11	known 5' site	1448856	50	
CNAG_01984T0	chr11	known 5' site	1448997	179	
CNAG_01984T0	chr11	known 5' site	1449140	132	
CNAG_01984T0	chr11	known 5' site	1449470	223	
CNAG_01984T0	chr11	known 5' site	1449651	251	
CNAG_01984T0	chr11	known 5' site	1449875	920	
CNAG_01984T0	chr11	known 3' site	1448801	133	
CNAG_01984T0	chr11	known 3' site	1448945	132	
CNAG_01984T0	chr11	known 3' site	1449085	117	
CNAG_01984T0	chr11	known 3' site	1449404	110	
CNAG_01984T0	chr11	known 3' site	1449545	58	
CNAG_01984T0	chr11	known 3' site	1449741	518	
CNAG_01984T0	chr11	unknown site	1449317	81	
CNAG_01984T0	chr11	unknown site	1449616	57	
CNAG_00407T0	chr1	known 5' site	1071357	102	
CNAG_00407T0	chr1	known 5' site	1071923	148	
CNAG_00407T0	chr1	known 5' site	1072075	224	
CNAG_00407T0	chr1	known 5' site	1072501	127	
CNAG_00407T0	chr1	known 5' site	1072684	167	
CNAG_00407T0	chr1	known 5' site	1073145	452	
CNAG_00407T0	chr1	known 5' site	1073235	292	
CNAG_00407T0	chr1	known 3' site	1071305	100	
CNAG_00407T0	chr1	known 3' site	1071874	151	
CNAG_00407T0	chr1	known 3' site	1072016	126	
CNAG_00407T0	chr1	known 3' site	1072451	129	
CNAG_00407T0	chr1	known 3' site	1072638	109	
CNAG_00407T0	chr1	known 3' site	1073093	88	
CNAG_00407T0	chr1	known 3' site	1073175	125	
CNAG_00407T0	chr1	unknown site	1070750	44	
CNAG_00407T0	chr1	unknown site	1071118	57	
CNAG_00407T0	chr1	unknown site	1071563	37	
CNAG_00407T0	chr1	unknown site	1072226	29	
CNAG_00407T0	chr1	unknown site	1072367	46	
CNAG_00407T0	chr1	unknown site	1072516	35	
CNAG_00407T0	chr1	unknown site	1072806	42	
CNAG_00407T0	chr1	unknown site	1072905	95	
CNAG_00407T0	chr1	unknown site	1073013	59	
CNAG_06207T0	chr12	known 5' site	628589	713	
CNAG_06207T0	chr12	known 5' site	628741	435	
CNAG_06207T0	chr12	known 3' site	628650	258	
CNAG_06207T0	chr12	known 3' site	628801	202	
CNAG_06207T0	chr12	unknown site	628472	65	
CNAG_06207T0	chr12	unknown site	628835	39	
CNAG_06207T0	chr12	unknown site	628912	53	
CNAG_06207T0	chr12	unknown site	629038	42	
CNAG_04659T0	chr10	known 5' site	754950	384	
CNAG_04659T0	chr10	known 5' site	755205	363	
CNAG_04659T0	chr10	known 5' site	755688	420	
CNAG_04659T0	chr10	known 5' site	756040	449	
CNAG_04659T0	chr10	known 5' site	756342	630	
CNAG_04659T0	chr10	known 5' site	756468	638	
CNAG_04659T0	chr10	known 5' site	756636	1008	
CNAG_04659T0	chr10	known 5' site	756765	881	
CNAG_04659T0	chr10	known 3' site	754894	100	
CNAG_04659T0	chr10	known 3' site	755153	194	
CNAG_04659T0	chr10	known 3' site	755980	275	
CNAG_04659T0	chr10	known 3' site	756292	188	
CNAG_04659T0	chr10	known 3' site	756415	352	
CNAG_04659T0	chr10	known 3' site	756557	272	
CNAG_04659T0	chr10	known 3' site	756700	439	
CNAG_04659T0	chr10	unknown site	754671	71	
CNAG_04659T0	chr10	unknown site	754719	60	
CNAG_04659T0	chr10	unknown site	754728	57	
CNAG_04659T0	chr10	unknown site	754826	54	
CNAG_04659T0	chr10	unknown site	755388	172	
CNAG_04659T0	chr10	unknown site	755538	53	
CNAG_04659T0	chr10	unknown site	755598	73	
CNAG_04659T0	chr10	unknown site	755787	89	
CNAG_04659T0	chr10	unknown site	755830	108	
CNAG_04659T0	chr10	unknown site	755866	161	
CNAG_04659T0	chr10	unknown site	756169	84	
CNAG_04659T0	chr10	unknown site	756193	74	
CNAG_04659T0	chr10	unknown site	756211	79	
CNAG_04659T0	chr10	unknown site	756496	83	
CNAG_04659T0	chr10	unknown site	756822	94	
CNAG_05251T0	chr4	known 5' site	847241	55	
CNAG_05251T0	chr4	known 5' site	847410	214	
CNAG_05251T0	chr4	known 5' site	848286	776	
CNAG_05251T0	chr4	known 3' site	847354	57	
CNAG_05251T0	chr4	known 3' site	847870	310	
CNAG_05251T0	chr4	unknown site	848075	40	
CNAG_05251T0	chr4	unknown site	848111	68	
CNAG_06699T0	chr7	known 5' site	523916	470	
CNAG_06699T0	chr7	known 5' site	524045	395	
CNAG_06699T0	chr7	known 5' site	524144	217	
CNAG_06699T0	chr7	known 5' site	524220	322	
CNAG_06699T0	chr7	known 5' site	524299	557	
CNAG_06699T0	chr7	known 5' site	524591	351	
CNAG_06699T0	chr7	known 5' site	524765	534	
CNAG_06699T0	chr7	known 5' site	524906	535	
CNAG_06699T0	chr7	known 5' site	525031	365	
CNAG_06699T0	chr7	known 5' site	525259	360	
CNAG_06699T0	chr7	known 5' site	525427	225	
CNAG_06699T0	chr7	known 3' site	524020	316	
CNAG_06699T0	chr7	known 3' site	524099	166	
CNAG_06699T0	chr7	known 3' site	524195	57	
CNAG_06699T0	chr7	known 3' site	524275	266	
CNAG_06699T0	chr7	known 3' site	524355	228	
CNAG_06699T0	chr7	known 3' site	524653	106	
CNAG_06699T0	chr7	known 3' site	524827	193	
CNAG_06699T0	chr7	known 3' site	524966	268	
CNAG_06699T0	chr7	known 3' site	525077	141	
CNAG_06699T0	chr7	known 3' site	525312	82	
CNAG_06699T0	chr7	known 3' site	525482	96	
CNAG_06699T0	chr7	unknown site	523951	54	
CNAG_06699T0	chr7	unknown site	524388	48	
CNAG_06699T0	chr7	unknown site	524395	31	
CNAG_06699T0	chr7	unknown site	524523	80	
CNAG_06699T0	chr7	unknown site	524541	41	
CNAG_06699T0	chr7	unknown site	524561	49	
CNAG_06699T0	chr7	unknown site	524709	93	
CNAG_06699T0	chr7	unknown site	524717	30	
CNAG_06699T0	chr7	unknown site	525108	65	
CNAG_06699T0	chr7	unknown site	525151	51	
CNAG_06699T0	chr7	unknown site	525207	46	
CNAG_06699T0	chr7	unknown site	525249	32	
CNAG_06699T0	chr7	unknown site	525340	39	
CNAG_06699T0	chr7	unknown site	525394	93	
CNAG_06699T0	chr7	unknown site	525530	31	
CNAG_06699T0	chr7	unknown site	525544	65	
CNAG_06699T0	chr7	unknown site	525624	32	
CNAG_03769T0	chr2	known 5' site	765911	189	
CNAG_03769T0	chr2	known 5' site	766063	164	
CNAG_03769T0	chr2	known 5' site	766299	70	
CNAG_03769T0	chr2	known 5' site	766464	52	
CNAG_03769T0	chr2	known 5' site	766675	65	
CNAG_03769T0	chr2	known 5' site	766934	71	
CNAG_03769T0	chr2	known 5' site	767043	285	
CNAG_03769T0	chr2	known 5' site	767152	43	
CNAG_03769T0	chr2	known 5' site	767686	69	
CNAG_03769T0	chr2	known 3' site	766027	63	
CNAG_03769T0	chr2	known 3' site	766192	163	
CNAG_03769T0	chr2	known 3' site	766358	35	
CNAG_03769T0	chr2	known 3' site	766515	24	
CNAG_03769T0	chr2	known 3' site	766724	36	
CNAG_03769T0	chr2	known 3' site	767114	33	
CNAG_03769T0	chr2	known 3' site	767203	47	
CNAG_03769T0	chr2	known 3' site	767745	40	
CNAG_03769T0	chr2	unknown site	765584	84	
CNAG_03769T0	chr2	unknown site	765748	51	
CNAG_03769T0	chr2	unknown site	765758	25	
CNAG_03769T0	chr2	unknown site	765794	17	
CNAG_03769T0	chr2	unknown site	765864	25	
CNAG_03769T0	chr2	unknown site	766114	35	
CNAG_03769T0	chr2	unknown site	766616	20	
CNAG_03769T0	chr2	unknown site	766643	26	
CNAG_03769T0	chr2	unknown site	766784	48	
CNAG_03769T0	chr2	unknown site	767271	31	
CNAG_03769T0	chr2	unknown site	767852	34	
CNAG_01558T0	chr11	known 5' site	273929	1063	
CNAG_01558T0	chr11	known 5' site	274136	501	
CNAG_01558T0	chr11	known 5' site	274258	808	
CNAG_01558T0	chr11	known 5' site	274523	294	
CNAG_01558T0	chr11	known 5' site	274919	618	
CNAG_01558T0	chr11	known 3' site	274069	955	
CNAG_01558T0	chr11	known 3' site	274190	627	
CNAG_01558T0	chr11	known 3' site	274317	303	
CNAG_01558T0	chr11	known 3' site	274599	67	
CNAG_01558T0	chr11	known 3' site	274983	103	
CNAG_01558T0	chr11	unknown site	274007	65	
CNAG_01558T0	chr11	unknown site	274022	76	
CNAG_01558T0	chr11	unknown site	274049	59	
CNAG_01558T0	chr11	unknown site	274056	96	
CNAG_01558T0	chr11	unknown site	274107	65	
CNAG_01558T0	chr11	unknown site	274395	160	
CNAG_01558T0	chr11	unknown site	274462	87	
CNAG_01558T0	chr11	unknown site	275082	60	
CNAG_01558T0	chr11	unknown site	275321	58	
CNAG_06164T0	chr12	unknown site	480670	138	
CNAG_06164T0	chr12	unknown site	480760	70	
CNAG_06164T0	chr12	unknown site	480857	17	
CNAG_06164T0	chr12	unknown site	481101	20	
CNAG_06164T0	chr12	unknown site	481402	26	
CNAG_06164T0	chr12	unknown site	483994	53	
CNAG_06164T0	chr12	unknown site	484000	125	
CNAG_06164T0	chr12	unknown site	484021	111	
CNAG_06164T0	chr12	unknown site	484056	21	
CNAG_06164T0	chr12	unknown site	484099	27	
CNAG_06164T0	chr12	unknown site	484120	21	
CNAG_06164T0	chr12	unknown site	484136	81	
CNAG_06164T0	chr12	unknown site	484143	38	
CNAG_06164T0	chr12	unknown site	484151	98	
CNAG_06164T0	chr12	unknown site	484162	286	
CNAG_06164T0	chr12	unknown site	484176	30	
CNAG_06164T0	chr12	unknown site	484189	103	
CNAG_06164T0	chr12	unknown site	484259	189	
CNAG_03358T0	chr8	known 5' site	742646	49	
CNAG_03358T0	chr8	known 5' site	742836	55	
CNAG_03358T0	chr8	known 5' site	743151	41	
CNAG_03358T0	chr8	known 5' site	743527	134	
CNAG_03358T0	chr8	known 5' site	743626	216	
CNAG_03358T0	chr8	known 5' site	743713	105	
CNAG_03358T0	chr8	known 5' site	743996	238	
CNAG_03358T0	chr8	known 3' site	742595	25	
CNAG_03358T0	chr8	known 3' site	743098	20	
CNAG_03358T0	chr8	known 3' site	743479	62	
CNAG_03358T0	chr8	known 3' site	743573	23	
CNAG_03358T0	chr8	known 3' site	743660	43	
CNAG_03358T0	chr8	known 3' site	743801	249	
CNAG_03358T0	chr8	unknown site	742738	17	
CNAG_03358T0	chr8	unknown site	742957	21	
CNAG_03358T0	chr8	unknown site	743384	16	
CNAG_03358T0	chr8	unknown site	743874	16	
CNAG_03358T0	chr8	unknown site	743898	25	
CNAG_03358T0	chr8	unknown site	743924	15	
CNAG_03358T0	chr8	unknown site	744276	136	
CNAG_03358T0	chr8	unknown site	744332	20	
CNAG_03358T0	chr8	unknown site	744367	213	
CNAG_03358T0	chr8	unknown site	744443	29	
CNAG_03358T0	chr8	unknown site	744502	275	
CNAG_03358T0	chr8	unknown site	744577	15	
CNAG_00130T0	chr1	known 5' site	354023	417	
CNAG_00130T0	chr1	known 5' site	354662	154	
CNAG_00130T0	chr1	known 5' site	355573	40	
CNAG_00130T0	chr1	known 5' site	355733	41	
CNAG_00130T0	chr1	known 5' site	355920	71	
CNAG_00130T0	chr1	known 5' site	356538	68	
CNAG_00130T0	chr1	known 5' site	356723	28	
CNAG_00130T0	chr1	known 5' site	357092	35	
CNAG_00130T0	chr1	known 3' site	354239	330	
CNAG_00130T0	chr1	known 3' site	355366	103	
CNAG_00130T0	chr1	known 3' site	355785	32	
CNAG_00130T0	chr1	known 3' site	356172	47	
CNAG_00130T0	chr1	known 3' site	356426	86	
CNAG_00130T0	chr1	known 3' site	356590	32	
CNAG_00130T0	chr1	known 3' site	356778	33	
CNAG_00130T0	chr1	known 3' site	357143	23	
CNAG_00130T0	chr1	unknown site	354111	27	
CNAG_00130T0	chr1	unknown site	354499	30	
CNAG_00162T0	chr1	known 5' site	439994	174	
CNAG_00162T0	chr1	known 5' site	440456	198	
CNAG_00162T0	chr1	known 5' site	440869	428	
CNAG_00162T0	chr1	known 5' site	441006	259	
CNAG_00162T0	chr1	known 3' site	440405	272	
CNAG_00162T0	chr1	known 3' site	440818	80	
CNAG_00162T0	chr1	known 3' site	440949	122	
CNAG_00162T0	chr1	unknown site	439746	24	
CNAG_00162T0	chr1	unknown site	439784	42	
CNAG_00162T0	chr1	unknown site	439909	23	
CNAG_00162T0	chr1	unknown site	440211	92	
CNAG_00162T0	chr1	unknown site	440572	54	
CNAG_00162T0	chr1	unknown site	440630	31	
CNAG_00162T0	chr1	unknown site	440649	31	
CNAG_00162T0	chr1	unknown site	440830	26	
CNAG_00162T0	chr1	unknown site	441127	23	
CNAG_03438T0	chr8	known 5' site	950469	245	
