Transcript	Length
CNAG_00320T0	2735
CNAG_00321T0	4890
CNAG_00322T0	1534
CNAG_00323T0	852
CNAG_00326T0	2347
CNAG_00327T0	959
CNAG_00328T0	4772
CNAG_00329T0	1471
CNAG_00330T0	4600
CNAG_00331T0	2278
CNAG_00332T0	4673
CNAG_00333T0	1688
CNAG_00334T0	2882
CNAG_00335T0	1904
CNAG_00336T0	2302
CNAG_00337T0	4139
CNAG_00342T0	3101
CNAG_00343T0	1765
CNAG_00344T0	3559
CNAG_00345T0	1584
CNAG_00346T0	920
CNAG_00347T0	7280
CNAG_00348T0	1893
CNAG_00349T0	1645
CNAG_00351T0	939
CNAG_00352T0	1488
CNAG_00353T0	1456
CNAG_00354T0	2752
CNAG_00355T0	1529
CNAG_00356T0	2041
CNAG_00357T0	2095
CNAG_00357T1	2095
CNAG_00358T0	3094
CNAG_00358T1	3094
CNAG_00359T0	1461
CNAG_00360T0	2362
CNAG_00360T1	1868
CNAG_00361T0	1926
CNAG_00362T0	2874
CNAG_00363T0	6349
CNAG_00364T0	1722
CNAG_00365T0	2260
CNAG_00366T0	2566
CNAG_00367T0	1047
CNAG_00368T0	3335
CNAG_00369T0	1876
CNAG_00370T0	1171
CNAG_00371T0	1347
CNAG_00372T0	5808
CNAG_00373T0	2819
CNAG_00374T0	2206
CNAG_00375T0	3216
CNAG_00376T0	1646
CNAG_00377T0	6771
CNAG_00377T1	6771
CNAG_00378T0	2454
CNAG_00383T0	5583
CNAG_00384T0	2088
CNAG_00385T0	1118
CNAG_00386T0	3903
CNAG_00387T0	2559
CNAG_00388T0	2934
CNAG_00389T0	2200
CNAG_00390T0	3337
CNAG_00391T0	1296
CNAG_00392T0	1877
CNAG_00392T1	1877
CNAG_00393T0	3421
CNAG_00394T0	855
CNAG_00395T0	2732
CNAG_00396T0	2985
CNAG_00397T0	2130
CNAG_00398T0	1536
CNAG_00399T0	2427
CNAG_00400T0	1839
CNAG_00400T1	1839
CNAG_00401T0	2540
CNAG_00402T0	5489
CNAG_00403T0	2292
CNAG_00404T0	2598
CNAG_00405T0	3308
CNAG_00406T0	2965
CNAG_00407T0	3406
CNAG_00408T0	1720
CNAG_00409T0	1540
CNAG_00410T0	3173
CNAG_00411T0	1884
CNAG_00412T0	559
CNAG_00413T0	2507
CNAG_00414T0	1625
CNAG_00415T0	3840
CNAG_00416T0	2878
CNAG_00417T0	2130
CNAG_00418T0	2144
CNAG_00419T0	1768
CNAG_00420T0	1032
CNAG_00421T0	1129
CNAG_00422T0	4072
CNAG_00422T1	4072
CNAG_00423T0	1169
CNAG_00424T0	3266
CNAG_00425T0	1279
CNAG_00426T0	2739
CNAG_00427T0	2366
CNAG_00428T0	2953
CNAG_00429T0	2335
CNAG_00430T0	905
CNAG_00433T0	3783
CNAG_00434T0	1737
CNAG_00435T0	1713
CNAG_00436T0	3221
CNAG_00437T0	866
CNAG_00438T0	2143
CNAG_00439T0	5530
CNAG_00440T0	1648
CNAG_00441T0	2150
CNAG_00442T0	2241
CNAG_00443T0	2135
CNAG_00444T0	1041
CNAG_00445T0	4219
CNAG_00446T0	931
CNAG_00447T0	1996
CNAG_00448T0	1876
CNAG_00449T0	2568
CNAG_00449T1	2568
CNAG_00450T0	1561
CNAG_00451T0	2119
CNAG_00452T0	2685
CNAG_00453T0	1098
CNAG_00454T0	986
CNAG_00455T0	2458
CNAG_00456T0	2381
CNAG_00457T0	2153
CNAG_00457T1	2153
CNAG_00458T0	2273
CNAG_00458T1	2273
CNAG_00460T0	1774
CNAG_00461T0	2704
CNAG_00462T0	3191
CNAG_00463T0	623
CNAG_00464T0	4883
CNAG_00465T0	870
CNAG_00466T0	992
CNAG_00467T0	1583
CNAG_00467T1	1583
CNAG_00468T0	2410
CNAG_00469T0	1454
CNAG_00470T0	990
CNAG_00471T0	1157
CNAG_00472T0	1682
CNAG_00473T0	724
CNAG_00474T0	1437
CNAG_00475T0	3704
CNAG_00476T0	1906
CNAG_00480T0	3526
CNAG_00481T0	1361
CNAG_00482T0	3564
CNAG_00483T0	2199
CNAG_00484T0	3162
CNAG_00485T0	1636
CNAG_00486T0	683
CNAG_00487T0	1988
CNAG_00488T0	2837
CNAG_00488T1	2837
CNAG_00490T0	2507
CNAG_00491T0	1461
CNAG_00492T0	2734
CNAG_00493T0	4881
CNAG_00495T0	774
CNAG_00496T0	2087
CNAG_00497T0	3322
CNAG_00498T0	3607
CNAG_00499T0	2562
CNAG_00500T0	2582
CNAG_00501T0	2159
CNAG_00502T0	917
CNAG_00503T0	1483
CNAG_00504T0	1653
CNAG_00505T0	2598
CNAG_00506T0	2224
CNAG_00507T0	1831
CNAG_00508T0	2967
CNAG_00509T0	1757
CNAG_00510T0	552
CNAG_00511T0	1626
CNAG_00512T0	2031
CNAG_00513T0	1603
CNAG_00514T0	3197
CNAG_00515T0	1971
CNAG_00515T1	1971
CNAG_00516T0	1919
CNAG_00517T0	1809
CNAG_00519T0	2125
CNAG_00520T0	5934
CNAG_00521T0	2440
CNAG_00522T0	4040
CNAG_00522T1	4040
CNAG_00523T0	1641
CNAG_00523T1	1641
CNAG_00524T0	1956
CNAG_00525T0	4728
CNAG_00526T0	1478
CNAG_00527T0	2480
CNAG_00528T0	2866
CNAG_00529T0	2312
CNAG_00531T0	3993
CNAG_00532T0	1740
CNAG_00533T0	2246
CNAG_00534T0	1036
CNAG_00535T0	1351
CNAG_00536T0	1135
CNAG_00536T1	1135
CNAG_00537T0	2520
CNAG_00538T0	900
CNAG_00539T0	2842
CNAG_00540T0	2766
CNAG_00541T0	2561
CNAG_00542T0	2266
CNAG_00543T0	2432
CNAG_00544T0	2648
CNAG_00545T0	7333
CNAG_00546T0	5673
CNAG_00547T0	5457
CNAG_00549T0	1531
CNAG_00549T1	1531
CNAG_00550T0	4069
CNAG_00551T0	3066
CNAG_00554T0	2265
CNAG_00555T0	1931
CNAG_00555T1	1931
CNAG_00556T0	2580
CNAG_00556T1	2580
CNAG_00557T0	1494
CNAG_00558T0	4844
CNAG_00559T0	1471
CNAG_00560T0	1458
CNAG_00561T0	1906
CNAG_00562T0	1528
CNAG_00563T0	1743
CNAG_00564T0	3224
CNAG_00565T0	2967
CNAG_00566T0	3457
CNAG_00567T0	1651
CNAG_00568T0	1810
CNAG_00569T0	2052
CNAG_00570T0	2152
CNAG_00571T0	3302
CNAG_00572T0	3468
CNAG_00573T0	1266
CNAG_00574T0	3616
CNAG_00574T1	3616
CNAG_00575T0	2699
CNAG_00576T0	1431
CNAG_00577T0	1675
CNAG_00580T0	3381
CNAG_00581T0	2211
CNAG_00582T0	1510
CNAG_00583T0	4698
CNAG_00584T0	2088
CNAG_00585T0	1435
CNAG_00586T0	1103
CNAG_00587T0	1716
CNAG_00588T0	1713
CNAG_00589T0	1584
CNAG_00590T0	3175
CNAG_00591T0	2132
CNAG_00592T0	1172
CNAG_00593T0	2639
CNAG_00593T1	2639
CNAG_00594T0	3232
CNAG_00595T0	1930
CNAG_00596T0	1961
CNAG_00597T0	3140
CNAG_00597T1	3140
CNAG_00598T0	2552
CNAG_00599T0	2970
CNAG_00600T0	2235
CNAG_00601T0	1899
CNAG_00602T0	1747
CNAG_00603T0	1331
CNAG_00604T0	2184
CNAG_00605T0	1906
CNAG_00606T0	2665
CNAG_00607T0	1921
CNAG_00608T0	940
CNAG_00609T0	4359
CNAG_00612T0	3357
CNAG_00613T0	2243
CNAG_00614T0	1303
CNAG_00615T0	2318
CNAG_00619T0	1814
CNAG_00622T0	1659
CNAG_00623T0	3124
CNAG_00624T0	1401
CNAG_00625T0	6119
CNAG_00626T0	1207
CNAG_00627T0	2756
CNAG_00628T0	1265
CNAG_00632T0	1016
CNAG_00633T0	5495
CNAG_00634T0	2520
CNAG_00634T1	2520
CNAG_00635T0	5413
CNAG_00636T0	2881
CNAG_00637T0	2025
CNAG_00638T0	2662
CNAG_00639T0	1085
CNAG_00640T0	1543
CNAG_00641T0	4254
CNAG_00642T0	11617
CNAG_00643T0	3059
CNAG_00644T0	2264
CNAG_00645T0	2188
CNAG_00647T0	1176
CNAG_00648T0	1552
CNAG_00649T0	2776
CNAG_00650T0	3269
CNAG_00651T0	3764
CNAG_00652T0	1816
CNAG_00652T1	1816
CNAG_00652T2	1816
CNAG_00653T0	4272
CNAG_00653T1	4272
CNAG_00653T2	4272
CNAG_00654T0	1033
CNAG_00655T0	683
CNAG_00656T0	2670
CNAG_00657T0	785
CNAG_00658T0	2406
CNAG_00659T0	1041
CNAG_00660T0	2930
CNAG_00661T0	3453
CNAG_00662T0	1957
CNAG_00663T0	2225
CNAG_00664T0	2687
CNAG_00665T0	3530
CNAG_00666T0	5254
CNAG_00667T0	2459
CNAG_00668T0	2643
CNAG_00669T0	999
CNAG_00670T0	2258
CNAG_00670T1	2258
CNAG_00671T0	3135
CNAG_00672T0	1517
CNAG_00673T0	1549
CNAG_00674T0	2477
CNAG_00675T0	2486
CNAG_00675T1	2486
CNAG_00676T0	1150
CNAG_00677T0	1879
CNAG_00678T0	2664
CNAG_00679T0	1191
CNAG_00680T0	1916
CNAG_00680T1	1916
CNAG_00681T0	3621
CNAG_00681T1	3621
CNAG_00682T0	7139
CNAG_00683T0	3388
CNAG_00684T0	1413
CNAG_00685T0	2735
CNAG_00686T0	1549
CNAG_00687T0	4884
CNAG_00687T1	4884
CNAG_00688T0	1199
CNAG_00689T0	1953
CNAG_00690T0	1770
CNAG_00691T0	2193
CNAG_00692T0	2192
CNAG_00693T0	4083
CNAG_00693T1	4083
CNAG_00694T0	2904
CNAG_00695T0	2038
CNAG_00696T0	5116
CNAG_00697T0	2253
CNAG_00698T0	2678
CNAG_00699T0	5796
CNAG_00700T0	2396
CNAG_00701T0	2756
CNAG_00702T0	2678
CNAG_00703T0	1088
CNAG_00704T0	5111
CNAG_00704T1	5111
CNAG_00705T0	1883
CNAG_00706T0	1669
CNAG_00707T0	1246
CNAG_00708T0	1781
CNAG_00709T0	1767
CNAG_00710T0	2785
CNAG_00711T0	1979
CNAG_00712T0	1567
CNAG_00713T0	1828
CNAG_00714T0	1496
CNAG_00715T0	643
CNAG_00716T0	1169
CNAG_00717T0	1926
CNAG_00718T0	3171
CNAG_00719T0	2786
CNAG_00720T0	2066
CNAG_00721T0	2543
CNAG_00722T0	1020
CNAG_00723T0	1528
CNAG_00726T0	2304
CNAG_00727T0	2530
CNAG_00728T0	3019
CNAG_00729T0	657
CNAG_00730T0	7065
CNAG_00732T0	2663
CNAG_00732T1	2663
CNAG_00732T2	2663
CNAG_00733T0	2479
CNAG_00734T0	2824
CNAG_00734T1	1505
CNAG_00735T0	3378
CNAG_00736T0	3668
CNAG_00736T1	3668
CNAG_00737T0	3466
CNAG_00738T0	1019
CNAG_00739T0	2041
CNAG_00740T0	6615
CNAG_00741T0	2653
CNAG_00742T0	2318
CNAG_00743T0	2208
CNAG_00744T0	2279
CNAG_00745T0	4467
CNAG_00746T0	2582
CNAG_00747T0	2280
CNAG_00748T0	1530
CNAG_00749T0	2174
CNAG_00750T0	1014
CNAG_00751T0	794
CNAG_00752T0	1858
CNAG_00753T0	4279
CNAG_00754T0	2570
CNAG_00755T0	2604
CNAG_00756T0	1233
CNAG_00757T0	4857
CNAG_00758T0	4674
CNAG_00759T0	2080
CNAG_00759T1	2080
CNAG_00760T0	2565
CNAG_00761T0	1052
CNAG_00762T0	2069
CNAG_00764T0	3282
CNAG_00765T0	1707
CNAG_00766T0	3146
CNAG_00768T0	3034
CNAG_00769T0	3337
CNAG_00770T0	4310
CNAG_00771T0	1453
CNAG_00772T0	1826
CNAG_00773T0	1607
CNAG_00774T0	2188
CNAG_00775T0	2125
CNAG_00776T0	2023
CNAG_00777T0	5491
CNAG_00778T0	4508
CNAG_00779T0	1420
CNAG_00780T0	2817
CNAG_00780T1	2817
CNAG_00781T0	724
CNAG_00782T0	3306
CNAG_00783T0	1588
CNAG_00784T0	1341
CNAG_00785T0	3881
CNAG_00786T0	1042
CNAG_00787T0	5930
CNAG_00788T0	2634
CNAG_00789T0	1240
CNAG_00790T0	2010
CNAG_00791T0	4201
CNAG_00792T0	7180
CNAG_00793T0	1390
CNAG_00794T0	1434
CNAG_00795T0	1426
CNAG_00796T0	5835
CNAG_00797T0	3063
CNAG_00798T0	2742
CNAG_00799T0	4036
CNAG_00800T0	1375
CNAG_00801T0	1358
CNAG_00802T0	1077
CNAG_00803T0	3602
CNAG_00804T0	1940
CNAG_00805T0	2680
CNAG_00806T0	1042
CNAG_00807T0	5669
CNAG_00808T0	1333
CNAG_00809T0	2987
CNAG_00810T0	2039
CNAG_00811T0	1753
CNAG_00812T0	4066
CNAG_00813T0	2544
CNAG_00814T0	7006
CNAG_00815T0	2948
CNAG_00816T0	1503
CNAG_00817T0	2239
CNAG_00818T0	1738
CNAG_00819T0	961
CNAG_00820T0	1246
CNAG_00821T0	1566
CNAG_00822T0	1779
CNAG_00823T0	6488
CNAG_00824T0	2026
CNAG_00825T0	2818
CNAG_00826T0	2511
CNAG_00827T0	1289
CNAG_00828T0	3435
CNAG_00829T0	1606
CNAG_00830T0	4011
CNAG_00831T0	1972
CNAG_00832T0	1706
CNAG_00833T0	1120
CNAG_00834T0	1803
CNAG_00834T1	1803
CNAG_00835T0	2824
CNAG_00836T0	1374
CNAG_00837T0	2924
CNAG_00838T0	948
CNAG_00839T0	1628
CNAG_00840T0	1051
CNAG_00841T0	3004
CNAG_00843T0	2862
CNAG_00844T0	2743
CNAG_00845T0	1512
CNAG_00846T0	1736
CNAG_00847T0	2734
CNAG_00848T0	4373
CNAG_00848T1	4373
CNAG_00848T2	4373
CNAG_00849T0	2186
CNAG_00850T0	1713
CNAG_00851T0	1189
CNAG_00852T0	1952
CNAG_00853T0	1798
CNAG_00854T0	1539
CNAG_00855T0	3674
CNAG_00858T0	2312
CNAG_00859T0	3676
CNAG_00860T0	2088
CNAG_00861T0	1384
CNAG_00862T0	1627
CNAG_00863T0	2231
CNAG_00864T0	2589
CNAG_00865T0	1134
CNAG_00866T0	3344
CNAG_00866T1	3344
CNAG_00867T0	2681
CNAG_00867T1	2681
CNAG_00867T2	2681
CNAG_00868T0	457
CNAG_00869T0	5806
CNAG_00870T0	2221
CNAG_00870T1	2221
CNAG_00870T2	2221
CNAG_00871T0	3596
CNAG_00871T1	3596
CNAG_00872T0	6870
CNAG_00873T0	3413
CNAG_00874T0	2865
CNAG_00875T0	1192
CNAG_00876T0	2422
CNAG_00877T0	2295
CNAG_00877T1	2295
CNAG_00878T0	1556
CNAG_00879T0	4512
CNAG_00883T0	3089
CNAG_00884T0	3986
CNAG_00885T0	806
CNAG_00886T0	2151
CNAG_00887T0	1991
CNAG_00888T0	3954
CNAG_00889T0	2737
CNAG_00889T1	2737
CNAG_00890T0	3693
CNAG_00891T0	2549
CNAG_00892T0	1019
CNAG_00893T0	1644
CNAG_00893T1	1644
CNAG_00894T0	2120
CNAG_00895T0	1735
CNAG_00896T0	3145
CNAG_00897T0	3041
CNAG_00898T0	2472
CNAG_00899T0	2844
CNAG_00900T0	1554
CNAG_00901T0	2110
CNAG_00902T0	1964
CNAG_00903T0	2813
CNAG_00903T1	2813
CNAG_00903T2	2813
CNAG_00904T0	2473
CNAG_00905T0	2430
CNAG_00906T0	6605
CNAG_00906T1	6605
CNAG_00907T0	1315
CNAG_00907T1	1315
CNAG_00908T0	978
CNAG_00909T0	1800
CNAG_00911T0	1435
CNAG_00914T0	2892
CNAG_00915T0	2750
CNAG_00915T1	2750
CNAG_00916T0	2920
CNAG_00917T0	2552
CNAG_00919T0	3461
CNAG_00920T0	1960
CNAG_00921T0	1285
CNAG_00922T0	2352
CNAG_00923T0	4754
CNAG_00924T0	360
CNAG_00925T0	2942
CNAG_00925T1	2942
CNAG_00926T0	1734
CNAG_00927T0	1760
CNAG_00928T0	5438
CNAG_00929T0	3815
CNAG_00930T0	2442
CNAG_00931T0	1389
CNAG_00932T0	1305
CNAG_00933T0	991
CNAG_00934T0	1807
CNAG_00935T0	1832
CNAG_00936T0	2515
CNAG_00936T1	2515
CNAG_00937T0	2199
CNAG_00937T1	2199
CNAG_00937T2	2199
CNAG_00938T0	3490
CNAG_00939T0	1820
CNAG_00940T0	3692
CNAG_00941T0	519
CNAG_00960T0	4721
CNAG_00961T0	1978
CNAG_00964T0	1923
CNAG_00966T0	2660
CNAG_00967T0	1981
CNAG_00968T0	1441
CNAG_00968T1	1441
CNAG_00969T0	1829
CNAG_00970T0	2779
CNAG_00971T0	2483
CNAG_00972T0	1240
CNAG_00973T0	1436
CNAG_00974T0	1036
CNAG_00975T0	2282
CNAG_00976T0	1913
CNAG_00977T0	2306
CNAG_00978T0	1680
CNAG_00979T0	2510
CNAG_00979T1	2510
CNAG_00979T2	2510
CNAG_00979T3	2510
CNAG_00980T0	1137
CNAG_00981T0	1679
CNAG_00982T0	1567
CNAG_00983T0	4064
CNAG_00984T0	2015
CNAG_00985T0	961
CNAG_00985T1	961
CNAG_00986T0	1664
CNAG_00987T0	2020
CNAG_00988T0	3970
CNAG_00989T0	1663
CNAG_00990T0	1622
CNAG_00990T1	1622
CNAG_00991T0	1864
CNAG_00992T0	2270
CNAG_00993T0	1468
CNAG_00994T0	1306
CNAG_00995T0	2679
CNAG_00995T1	2679
CNAG_00996T0	3117
CNAG_00997T0	1023
CNAG_00998T0	5415
CNAG_00998T1	5415
CNAG_00999T0	1403
CNAG_01000T0	5188
CNAG_01001T0	3337
CNAG_01002T0	2720
CNAG_01003T0	2746
CNAG_01004T0	4393
CNAG_01004T1	4393
CNAG_01004T2	4393
CNAG_01005T0	1126
CNAG_01006T0	2464
CNAG_01007T0	1980
CNAG_01008T0	2128
CNAG_01009T0	2591
CNAG_01009T1	2591
CNAG_01010T0	1195
CNAG_01011T0	2378
CNAG_01012T0	1425
CNAG_01013T0	1989
CNAG_01014T0	2710
CNAG_01015T0	1632
CNAG_01016T0	4706
CNAG_01017T0	6641
CNAG_01017T1	6641
CNAG_01018T0	2256
CNAG_01019T0	1233
CNAG_01020T0	1587
CNAG_01021T0	1629
CNAG_01022T0	2527
CNAG_01023T0	2654
CNAG_01024T0	2854
CNAG_01025T0	1970
CNAG_01026T0	2967
CNAG_01027T0	2363
CNAG_01028T0	1389
CNAG_01029T0	1799
CNAG_01029T1	1799
CNAG_01030T0	1381
CNAG_01030T1	1381
CNAG_01031T0	1670
CNAG_01032T0	5299
CNAG_01033T0	2233
CNAG_01034T0	1708
CNAG_01035T0	1436
CNAG_01036T0	1396
CNAG_01037T0	3931
CNAG_01038T0	2559
CNAG_01039T0	5841
CNAG_01040T0	2670
CNAG_01041T0	1378
CNAG_01042T0	1459
CNAG_01043T0	1517
CNAG_01044T0	1797
CNAG_01045T0	2704
CNAG_01046T0	1992
CNAG_01047T0	1347
CNAG_01048T0	6039
CNAG_01048T1	6039
CNAG_01049T0	793
CNAG_01050T0	1995
CNAG_01051T0	4932
CNAG_01052T0	2240
CNAG_01053T0	5346
CNAG_01054T0	1517
CNAG_01055T0	3196
CNAG_01055T1	3196
CNAG_01056T0	947
CNAG_01057T0	2554
CNAG_01058T0	1448
CNAG_01059T0	1921
CNAG_01059T1	1921
CNAG_01060T0	2278
CNAG_01060T1	2278
CNAG_01061T0	3772
CNAG_01062T0	4537
CNAG_01063T0	5595
CNAG_01064T0	1433
CNAG_01065T0	2604
CNAG_01065T1	2604
CNAG_01069T0	4335
CNAG_01070T0	1953
CNAG_01071T0	2571
CNAG_01072T0	2097
CNAG_01073T0	2632
CNAG_01073T1	2632
CNAG_01074T0	2657
CNAG_01074T1	2657
CNAG_01075T0	2479
CNAG_01076T0	2151
CNAG_01077T0	1115
CNAG_01078T0	2211
CNAG_01079T0	1437
CNAG_01080T0	1715
CNAG_01081T0	1630
CNAG_01082T0	4558
CNAG_01083T0	2262
CNAG_01084T0	1618
CNAG_01085T0	1413
CNAG_01086T0	2271
CNAG_01087T0	2857
CNAG_01088T0	2528
CNAG_01089T0	913
CNAG_01090T0	1531
CNAG_01091T0	3789
CNAG_01092T0	1106
CNAG_01093T0	1244
CNAG_01094T0	1724
CNAG_01095T0	1871
CNAG_01096T0	1414
