Accession	Previous Gene Name?	Newer Gene Name?	Known Gene Name	SacCer Ortholog Gene Name	SacCer Ortholog Gene Description	Gene known not to be involved in virulence	Gene involved in melanin production	Gene involved in capsule production	Gene with increased virulence in KO	Other Virulence Phenotype	Annotated as Txn Factor?	Gene found in DMEM screen	Hiten's Annotation	CH Annotation	Blast Results	Counts MSTEST-1A	Counts MSTEST-1B	Counts MSTEST-4-6A	Counts MSTEST-4-6B	Coverage MSTEST-1A	Coverage MSTEST-1B	Coverage MSTEST-4-6A	Coverage MSTEST-4-6B	Ratio of average counts from MSTEST-4-6/MSTEST-1	
CNAG_06273T0			NO	YOR294W	Regulator of Ribosome Synthesis, "Essential protein that binds ribosomal protein L11; required for nuclear export of the 60S pre-ribosomal subunit during ribosome biogenesis; localizes to the nucleolus and in foci along nuclear periphery; cooperates with Ebp2p and Mps3p to mediate telomere clustering by binding Sir4p	NO					NO	YES	RRS1 Essential protein that binds ribosomal protein L11; required for nuclear export of the 60S pre-ribosomal subunit during ribosome biogenesis; localizes to the nucleolus and in foci along nuclear periphery; cooperates with Ebp2p and Mps3p to mediate telomere clustering by binding Sir4p, but is not involved in telomere tethering; mouse homolog shows altered expression in Huntington's disease model mice		Homo sapiens VAMP (vesicle-associated membrane protein)-associated protein B and C (VAPB), RefSeqGene on chromosome 20; Oryza sativa Japonica Group Os03g0565900 (Os03g0565900) mRNA, complete cds; Oryza sativa Japonica Group Os02g0160900 (Os02g0160900) mRNA, complete cds	43	77	146	160	35.10%	32.90%	78.90%	55.30%	2.55	
CNAG_07413T0		CNAG_01450,CNAG_07257	NO	YNR053C	NucleOlar G-protein, Putative GTPase that associates with pre-60S ribosomal subunits in the nucleolus and is required for their nuclear export and maturation	NO					NO	NO	NOG2 Putative GTPase that associates with pre-60S ribosomal subunits in the nucleolus and is required for their nuclear export and maturation	NOG2(Nucleolar GTP-binding protein)	PREDICTED: Nomascus leucogenys guanine nucleotide binding protein-like 2 (nucleolar) (GNL2), mRNA; PREDICTED: Capra hircus guanine nucleotide binding protein-like 2 (nucleolar) (GNL2), transcript variant X2, mRNA; PREDICTED: Capra hircus guanine nucleotide binding protein-like 2 (nucleolar) (GNL2), transcript variant X1, mRNA	46	59	137	169	27.70%	45.30%	36.40%	42.00%	2.91428571429	
CNAG_06231T0			NO	YIL133C,YNL069C	Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L16A; N-terminally acetylated,Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L16B; N-terminally acetylated	NO					NO	YES	RPL16B Ribosomal 60S subunit protein L16B; N-terminally acetylated, binds 5.8 S rRNA; transcriptionally regulated by Rap1p; homologous to mammalian ribosomal protein L13A and bacterial L13; RPL16B has a paralog, RPL16A, that arose from the whole genome duplication		Suberites domuncula L13a mRNA, complete cds; Caenorhabditis elegans Protein RPL-16 (rpl-16) mRNA, complete cds; CEU31528 Caenorhabditis elegans 60S ribosomal protein L13A mRNA, complete cds	39	66	123	181	56.30%	47.70%	37.40%	39.50%	2.89523809524	
CNAG_01179T0			NO	YPR110C	RNA Polymerase C, "RNA polymerase subunit AC40	NO					NO	YES	RPC40 RNA polymerase subunit AC40, common to RNA polymerase I and III		PREDICTED: Anolis carolinensis diacylglycerol kinase alpha-like (LOC100555149), mRNA; Verticillium albo-atrum VaMs.102 DNA-directed RNA polymerases I and III subunit RPAC1, mRNA; PREDICTED: Ciona intestinalis DNA-directed RNA polymerases I and III subunit RPAC1-like (LOC100178608), mRNA	39	62	142	161	38.30%	60.00%	59.70%	59.70%	3.0	
CNAG_03198T0			NO	YBL072C,YER102W	Ribosomal Protein of the Small subunit, "Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S8,Ribosomal Protein of the Small subunit, "Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S8	NO					NO	YES	RPS8B Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S8, no bacterial homolog; RPS8B has a paralog, RPS8A, that arose from the whole genome duplication		Sycon ciliatum mRNA for 40S ribosomal protein S8 (rps8 gene); AF097201 Schizophyllum commune 40S ribosomal protein S8 (rps8) mRNA, partial cds; Laccaria bicolor S238N-H82 40S ribosomal protein S8, partial mRNA	18	73	137	165	47.60%	56.70%	57.00%	71.50%	3.31868131868	
CNAG_01125T0			NO			NO					NO	NO	conserved hypothetical protein		PREDICTED: Mustela putorius furo RAN binding protein 3-like (RANBP3L), transcript variant X4, mRNA; PREDICTED: Mustela putorius furo RAN binding protein 3-like (RANBP3L), transcript variant X3, mRNA >gi; PREDICTED: Mustela putorius furo RAN binding protein 3-like (RANBP3L), transcript variant X2, mRNA	38	49	118	166	17.70%	25.50%	68.00%	75.00%	3.26436781609	
CNAG_00809T0			NO	YOR204W,YPL119C	DEaD-box protein, "ATP-dependent DEAD (Asp-Glu-Ala-Asp)-box RNA helicase,Dead Box Protein, Putative ATP-dependent RNA helicase of the DEAD-box protein family; mutants show reduced stability of the 40S ribosomal subunit scanning through 5' untranslated regions of mRNAs; protein abundance increases in response to DNA replication stress	NO					NO	YES	DBP1 Putative ATP-dependent RNA helicase of the DEAD-box protein family; mutants show reduced stability of the 40S ribosomal subunit scanning through 5' untranslated regions of mRNAs; protein abundance increases in response to DNA replication stress		Marsupenaeus japonicus putative RNA helicase (Pl10) mRNA, complete cds; Aurelia aurita mRNA for PL10-related protein CnPL10, partial cds; Arabidopsis thaliana DEAD-box ATP-dependent RNA helicase 11 mRNA, complete cds	20	64	106	154	22.90%	40.70%	31.00%	31.70%	3.09523809524	
CNAG_04004T0			NO	YLR441C,YML063W	Ribosomal Protein of the Small subunit, "Ribosomal protein 10 (rp10) of the small (40S) subunit; homologous to mammalian ribosomal protein S3A,Ribosomal Protein of the Small subunit, "Ribosomal protein 10 (rp10) of the small (40S) subunit; homologous to mammalian ribosomal protein S3A	NO					NO	YES	RPS1B Ribosomal protein 10 (rp10) of the small (40S) subunit; homologous to mammalian ribosomal protein S3A, no bacterial homolog; RPS1B has a paralog, RPS1A, that arose from the whole genome duplication		Clavispora lusitaniae ATCC 42720 40S ribosomal protein S3aE, mRNA; Clavispora lusitaniae ATCC 42720 40S ribosomal protein S3aE, mRNA; Lodderomyces elongisporus NRRL YB-4239 40S ribosomal protein S3aE (LELG_01344) partial mRNA	18	65	89	164	32.80%	66.00%	23.20%	28.40%	3.04819277108	
CNAG_04609T0			NO			NO					NO	YES	eukaryotic translation initiation factor 2C 2    PF02170.14 PAZ PF02171.9 Piwi PF08699.2 DUF1785	AGO1(Argonaute protein; involved in gene silencing by RNA interference (RNAi); H99 contains a single AGO1 gene whereas JEC21 contains 2 Argonaute genes AGO1 and AGO2)	Sorghum mosaic virus partial polyprotein gene, genomic RNA, isolate YN15; Sorghum mosaic virus partial polyprotein gene, genomic RNA, isolate YN14; PREDICTED: Taeniopygia guttata ADAM metallopeptidase with thrombospondin type 1 motif, 20 (ADAMTS20), mRNA	30	52	129	120	20.70%	35.80%	66.50%	73.50%	3.03658536585	
CNAG_03053T0			NO	YOL127W	Ribosomal Protein of the Large subunit, Ribosomal 60S subunit protein L25; primary rRNA-binding ribosomal protein component of large ribosomal subunit; binds to 25S rRNA via a conserved C-terminal motif; homologous to mammalian ribosomal protein L23A and bacterial L23	NO					NO	YES	RPL25 Ribosomal 60S subunit protein L25; primary rRNA-binding ribosomal protein component of large ribosomal subunit; binds to 25S rRNA via a conserved C-terminal motif; homologous to mammalian ribosomal protein L23A and bacterial L23		Arenicola marina ribosomal protein rpl23a mRNA, partial cds; Salpingoeca sp. ATCC 50818 ribosomal protein L23a (PTSG_01022) mRNA, complete cds; Ricinus communis 60S ribosomal protein L23a, putative, mRNA	43	39	121	124	45.50%	66.20%	40.70%	38.40%	2.98780487805	
CNAG_04726T0			NO	YMR242C,YOR312C	Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L20A; homologous to mammalian ribosomal protein L18A,Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L20B; homologous to mammalian ribosomal protein L18A	NO					NO	YES	RPL20B Ribosomal 60S subunit protein L20B; homologous to mammalian ribosomal protein L18A, no bacterial homolog; RPL20B has a paralog, RPL20A, that arose from the whole genome duplication		Lachancea thermotolerans 60S ribosomal protein L20, partial mRNA; Zygosaccharomyces rouxii 60S ribosomal protein L20, partial mRNA; PREDICTED: Ceratitis capitata 60S ribosomal protein L18a-like (LOC101457959), mRNA	38	43	112	114	28.50%	58.10%	50.80%	49.20%	2.79012345679	
CNAG_05800T0			NO	YOR234C,YPL143W	Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L33B; rpl33b null mutant exhibits normal growth while rpl33a rpl33b double null mutant is inviable; homologous to mammalian ribosomal protein L35A,Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L33A; N-terminally acetylated; rpl33a null mutant exhibits slow growth while rpl33a rpl33b double null mutant is inviable; homologous to mammalian ribosomal protein L35A	NO					NO	YES	RPL33A Ribosomal 60S subunit protein L33A; N-terminally acetylated; rpl33a null mutant exhibits slow growth while rpl33a rpl33b double null mutant is inviable; homologous to mammalian ribosomal protein L35A, no bacterial homolog; RPL33A has a paralog, RPL33B, that arose from the whole genome duplication		PREDICTED: Canis lupus familiaris ubiquitin specific peptidase 42 (USP42), transcript variant X5, mRNA; PREDICTED: Canis lupus familiaris ubiquitin specific peptidase 42 (USP42), transcript variant X4, mRNA; PREDICTED: Canis lupus familiaris ubiquitin specific peptidase 42 (USP42), transcript variant X3, mRNA	40	38	87	138	41.00%	46.70%	54.90%	60.60%	2.88461538462	
CNAG_06095T0			NO	YDL082W,YMR142C	Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L13A; not essential for viability; homologous to mammalian ribosomal protein L13,Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L13B; not essential for viability; homologous to mammalian ribosomal protein L13	NO					NO	YES	RPL13B Ribosomal 60S subunit protein L13B; not essential for viability; homologous to mammalian ribosomal protein L13, no bacterial homolog; RPL13B has a paralog, RPL13A, that arose from the whole genome duplication		Prevotella massiliensis RpoB (rpoB) gene, partial cds; Platynereis dumerilii EST IB0AAA16AG01FM1; Platynereis dumerilii EST IB0AAA37CE08EM1	16	60	90	128	36.60%	49.30%	38.10%	41.10%	2.86842105263	
CNAG_00116T0			NO	YNL178W	Ribosomal Protein of the Small subunit, "Protein component of the small (40S) ribosomal subunit	NO					NO	YES	RPS3 Protein component of the small (40S) ribosomal subunit, has apurinic/apyrimidinic (AP) endonuclease activity; essential for viability; homologous to mammalian ribosomal protein S3 and bacterial S3		Tetraodon nigroviridis full-length cDNA; Tetraodon nigroviridis full-length cDNA; PREDICTED: Geospiza fortis 40S ribosomal protein S3-like (LOC102037632), transcript variant X2, mRNA	39	28	82	135	28.60%	34.50%	44.40%	45.00%	3.23880597015	
CNAG_04954T0			NO			NO					NO	YES	conserved hypothetical protein		Chaunopycnis alba ORF1, terK, terC, terB, terQ, terM, terP, terF, ORF2, ORF3 genes for indoleamine 2,3-dioxygenase, cytochrome P450 monooxygenase, prenyl transferase, terpene cyclase, cytochrome P450 monooxygenase, FAD-dependent monooxygenase, cytochrome P450 monooxygenase, aromatic prenyl transferase, flavin-binding monooxygenase, heat shock protein, complete cds; Mus musculus targeted non-conditional, lacZ-tagged mutant allele Fam115a:tm2e(KOMP)Wtsi; transgenic; Mus musculus targeted KO-first, conditional ready, lacZ-tagged mutant allele Fam115a:tm1a(KOMP)Wtsi; transgenic	46	20	96	120	18.60%	15.60%	47.80%	46.10%	3.27272727273	
CNAG_06611T0			NO	YPR010C	RNA Polymerase A, RNA polymerase I second largest subunit A135	NO					NO	YES	RPA135 RNA polymerase I second largest subunit A135		Caenorhabditis briggsae Hypothetical protein CBG19469 (CBG19469) mRNA, complete cds; PREDICTED: Danio rerio polymerase (RNA) I polypeptide B (polr1b), transcript variant X1, mRNA; Danio rerio polymerase (RNA) I polypeptide B (polr1b), mRNA >gi	21	40	73	138	9.40%	20.70%	34.80%	47.30%	3.45901639344	
CNAG_01486T0			NO	YLR029C,YMR121C	Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L15A; binds to 5.8 S rRNA; homologous to mammalian ribosomal protein L15,Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L15B; binds to 5.8 S rRNA; homologous to mammalian ribosomal protein L15	NO					NO	YES	RPL15B Ribosomal 60S subunit protein L15B; binds to 5.8 S rRNA; homologous to mammalian ribosomal protein L15, no bacterial homolog; RPL15B has a paralog, RPL15A, that arose from the whole genome duplication		PREDICTED: Spermophilus tridecemlineatus ribosomal protein L15 (Rpl15), mRNA; R.norvegicus (Sprague Dawley) ribosomal protein L15 mRNA; PREDICTED: Orcinus orca ribosomal protein L15 (RPL15), mRNA	15	43	77	125	28.40%	50.70%	39.10%	43.00%	3.48275862069	
CNAG_01187T0			NO	YKR081C	, Essential protein involved in the processing of pre-rRNA and the assembly of the 60S ribosomal subunit; interacts with ribosomal protein L11; localizes predominantly to the nucleolus; constituent of 66S pre-ribosomal particles	NO					NO	YES	RPF2 Essential protein involved in the processing of pre-rRNA and the assembly of the 60S ribosomal subunit; interacts with ribosomal protein L11; localizes predominantly to the nucleolus; constituent of 66S pre-ribosomal particles		PREDICTED: Sarcophilus harrisii RIMS binding protein 2, transcript variant 2 (RIMBP2), mRNA; PREDICTED: Sarcophilus harrisii RIMS binding protein 2, transcript variant 1 (RIMBP2), mRNA; PREDICTED: Sus scrofa splicing factor 3b, subunit 1, 155kDa (SF3B1), transcript variant X1, mRNA	34	24	73	118	27.80%	40.70%	61.00%	68.40%	3.29310344828	
CNAG_01332T0			NO	YER074W,YIL069C	Ribosomal Protein of the Small subunit, "Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S24,Ribosomal Protein of the Small subunit, "Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S24	NO					NO	YES	RPS24B Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S24, no bacterial homolog; RPS24B has a paralog, RPS24A, that arose from the whole genome duplication		PREDICTED: Fragaria vesca subsp. vesca 40S ribosomal protein S24-2-like (LOC101293313), mRNA; Leptosphaeria maculans JN3 SuperContig_16_v2 >gi; Leishmania major strain Friedlin 40S ribosomal protein S24e (S24E-2) mRNA, complete cds	31	27	95	95	40.00%	49.60%	49.90%	56.10%	3.27586206897	
CNAG_03975T0			NO	YMR049C	, "Constituent of 66S pre-ribosomal particles	NO					NO	YES	ERB1 Constituent of 66S pre-ribosomal particles, forms a complex with Nop7p and Ytm1p that is required for maturation of the large ribosomal subunit; required for maturation of the 25S and 5.8S ribosomal RNAs; homologous to mammalian Bop1		Sporisorium reilianum SRZ2 chromosome 16 complete DNA sequence; Penicillium marneffei ATCC 18224 ribosome biogenesis protein  Erb1, putative, mRNA; PREDICTED: Megachile rotundata ribosome biogenesis protein BOP1 homolog (LOC100883323), mRNA	22	32	107	83	14.10%	16.50%	58.60%	51.70%	3.51851851852	
CNAG_02144T0			NO	YGL135W,YPL220W	Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L1B; N-terminally acetylated; homologous to mammalian ribosomal protein L10A and bacterial L1; RPL1B has a paralog,Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L1A; N-terminally acetylated; homologous to mammalian ribosomal protein L10A and bacterial L1; RPL1A has a paralog	NO					NO	YES	RPL1A Ribosomal 60S subunit protein L1A; N-terminally acetylated; homologous to mammalian ribosomal protein L10A and bacterial L1; RPL1A has a paralog, RPL1B, that arose from the whole genome duplication; rpl1a rpl1b double null mutation is lethal		PREDICTED: Zonotrichia albicollis 60S ribosomal protein L10a-like (LOC102073944), partial mRNA; PREDICTED: Melopsittacus undulatus 60S ribosomal protein L10a-like (LOC101880352), mRNA; PREDICTED: Melopsittacus undulatus 60S ribosomal protein L10a-like (LOC101880352), mRNA	29	24	72	109	28.30%	40.70%	65.50%	68.10%	3.41509433962	
CNAG_01564T0			NO	YOL041C	NucleOlar Protein, Nucleolar protein involved in pre-25S rRNA processing and biogenesis of large 60S ribosomal subunit; contains an RNA recognition motif (RRM); binds to Ebp2; similar to Nop13p and Nsr1p	NO					NO	NO	NOP12 Nucleolar protein involved in pre-25S rRNA processing and biogenesis of large 60S ribosomal subunit; contains an RNA recognition motif (RRM); binds to Ebp2; similar to Nop13p and Nsr1p		PREDICTED: Trichechus manatus latirostris YTH domain containing 1, transcript variant 2 (YTHDC1), mRNA; PREDICTED: Trichechus manatus latirostris YTH domain containing 1, transcript variant 1 (YTHDC1), mRNA; PREDICTED: Callithrix jacchus YTH domain-containing protein 1-like (LOC100387580), mRNA	13	40	50	128	13.70%	25.50%	34.40%	46.80%	3.35849056604	
CNAG_00672T0			NO	YBR048W,YDR025W	Ribosomal Protein of the Small subunit, "Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S11 and bacterial S17; RPS11B has a paralog,Ribosomal Protein of the Small subunit, "Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S11 and bacterial S17; RPS11A has a paralog	NO					NO	YES	RPS11A Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S11 and bacterial S17; RPS11A has a paralog, RPS11B, that arose from the whole genome duplication		TPA_asm: Aspergillus nidulans FGSC A4 chromosome V; Mythimna separata ribosomal protein S11e mRNA, complete cds; Karlodinium veneficum strain CCMP2778 ribosomal protein S11 (RP-S11) mRNA, complete cds	18	34	66	108	48.40%	68.60%	31.90%	31.20%	3.34615384615	
CNAG_03787T0			NO	YML085C,YML124C	TUBulin, "Alpha-tubulin; associates with beta-tubulin (Tub2p) to form tubulin dimer,TUBulin, "Alpha-tubulin; associates with beta-tubulin (Tub2p) to form tubulin dimer	NO					NO	YES	TUB3 Alpha-tubulin; associates with beta-tubulin (Tub2p) to form tubulin dimer, which polymerizes to form microtubules; expressed at lower level than Tub1p		PREDICTED: Strongylocentrotus purpuratus tubulin, alpha 1c, transcript variant 1 (tuba1c), mRNA; PREDICTED: Nasonia vitripennis tubulin alpha-1 chain-like (LOC100119612), mRNA; Schizophyllum commune H4-8 tubulin alpha-1B chain, mRNA	34	17	71	103	25.70%	31.70%	44.20%	55.90%	3.41176470588	
CNAG_03944T0			NO	YNL064C	Yeast dnaJ, Type I HSP40 co-chaperone; involved in regulation of HSP90 and HSP70 functions; critical for determining cell size at Start as a function of growth rate; involved in protein translocation across membranes; member of the DnaJ family	NO					NO	YES	YDJ1 Type I HSP40 co-chaperone; involved in regulation of HSP90 and HSP70 functions; critical for determining cell size at Start as a function of growth rate; involved in protein translocation across membranes; member of the DnaJ family		PREDICTED: Columba livia DnaJ (Hsp40) homolog, subfamily A, member 1 (DNAJA1), mRNA; Saccharomyces cerevisiae S288c Ydj1p (YDJ1), mRNA; mas5=heat shock protein [Saccharomyces cerevisiae, Genomic, 1860 nt]	16	35	98	73	12.70%	31.80%	35.10%	55.10%	3.35294117647	
CNAG_06980T0			NO	YLR362W	STErile, "Signal transducing MEK kinase; involved in pheromone response and pseudohyphal/invasive growth pathways where it phosphorylates Ste7p	NO					NO	NO	STE11 Signal transducing MEK kinase; involved in pheromone response and pseudohyphal/invasive growth pathways where it phosphorylates Ste7p, and the high osmolarity response pathway, via phosphorylation of Pbs2p; regulated by Ste20p and Ste50p; protein abundance increases in response to DNA replication stress	STE11(MAPKK kinase; STE/STE11 protein kinase; encoded on mating type locus)	PREDICTED: Melopsittacus undulatus serine/threonine-protein kinase MST4-like (LOC101877001), mRNA; Schizosaccharomyces pombe 972h- V-type ATPase V0 subunit c'' (predicted) (vma16), mRNA; Trichinella spiralis putative kinase domain protein (Tsp_03758) mRNA, complete cds	19	32	62	108	11.80%	20.80%	24.10%	28.00%	3.33333333333	
CNAG_02928T0			NO	YPL131W	Ribosomal Protein of the Large subunit, Ribosomal 60S subunit protein L5; homologous to mammalian ribosomal protein L5 and bacterial L18; binds 5S rRNA and is required for 60S subunit assembly	NO					NO	YES	RPL5 Ribosomal 60S subunit protein L5; homologous to mammalian ribosomal protein L5 and bacterial L18; binds 5S rRNA and is required for 60S subunit assembly		Gibberella zeae PH-1 60S ribosomal protein L5 partial mRNA; Magnaporthe oryzae 70-15 60S ribosomal protein L5 (MGG_07048) mRNA, complete cds; Crassostrea gigas partial mRNA for ribosomal protein L5 (rpl5 gene)	25	23	87	81	40.80%	46.10%	50.00%	55.20%	3.5	
