	Transcrip	150904CM018-B	150904CM018-W	150904CM763-B	150904CM763-W	150904CM764-B	Length	150904CM018-B_norm	150904CM018-B_norm_untagged	150904CM763-B_norm	150904CM763-B_norm_untagged
20	CNAG_00019T0	11	1529.0	303.0	189.0	57.0	761	0.000654022236756	5.94565669778e-05	0.00529100529101	0.000481000481
21	CNAG_00020T0	55	2711.0	3800.0	162.0	668.0	3910	0.00036886757654	6.70668320982e-06	0.00617283950617	0.000112233445567
22	CNAG_00021T0	10	648.0	300.0	55.0	56.0	2054	0.00154320987654	0.000154320987654	0.0181818181818	0.00181818181818
23	CNAG_00022T0	12	768.0	412.0	75.0	60.0	1247	0.00130208333333	0.000108506944444	0.0133333333333	0.00111111111111
24	CNAG_00023T0	3	143.0	180.0	1.0	36.0	1712	0.00699300699301	0.002331002331	1.0	0.333333333333
25	CNAG_00024T0	142	3548.0	4693.0	409.0	1060.0	4213	0.000281848928974	1.98485161249e-06	0.00244498777506	1.7218223768e-05
26	CNAG_00024T1	137	3229.0	4536.0	369.0	1024.0	4213	0.000309693403531	2.26053579219e-06	0.00271002710027	1.978121971e-05
27	CNAG_00024T2	137	3229.0	4536.0	369.0	1024.0	4213	0.000309693403531	2.26053579219e-06	0.00271002710027	1.978121971e-05
28	CNAG_00025T0	21	405.0	1901.0	23.0	359.0	3724	0.00246913580247	0.000117577895356	0.0434782608696	0.00207039337474
29	CNAG_00025T1	21	406.0	1920.0	23.0	361.0	3724	0.00246305418719	0.000117288294628	0.0434782608696	0.00207039337474
30	CNAG_00026T0	26	2281.0	2551.0	240.0	361.0	2110	0.00043840420868	1.68617003339e-05	0.00416666666667	0.000160256410256
31	CNAG_00026T1	26	2281.0	2551.0	240.0	361.0	2110	0.00043840420868	1.68617003339e-05	0.00416666666667	0.000160256410256
32	CNAG_00027T0	17	665.0	1746.0	40.0	300.0	3902	0.0015037593985	8.84564352057e-05	0.025	0.00147058823529
33	CNAG_00028T0	13	396.0	1766.0	35.0	274.0	2466	0.00252525252525	0.00019425019425	0.0285714285714	0.0021978021978
34	CNAG_00028T1	13	396.0	1766.0	35.0	274.0	2466	0.00252525252525	0.00019425019425	0.0285714285714	0.0021978021978
38	CNAG_00031T0	5	428.0	622.0	35.0	82.0	3712	0.00233644859813	0.000467289719626	0.0285714285714	0.00571428571429
39	CNAG_00031T1	5	428.0	622.0	35.0	82.0	3712	0.00233644859813	0.000467289719626	0.0285714285714	0.00571428571429
42	CNAG_00034T0	116	20537.0	4952.0	2729.0	790.0	1637	4.86926035935e-05	4.19763824082e-07	0.000366434591425	3.1589188916e-06
43	CNAG_00035T0	3	61.0	140.0	4.0	32.0	4953	0.016393442623	0.00546448087432	0.25	0.0833333333333
44	CNAG_00036T0	10	826.0	1546.0	12.0	366.0	1571	0.00121065375303	0.000121065375303	0.0833333333333	0.00833333333333
45	CNAG_00038T0	12	911.0	547.0	52.0	120.0	2539	0.00109769484083	9.14745700695e-05	0.0192307692308	0.00160256410256
46	CNAG_00039T0	7	671.0	786.0	32.0	174.0	5207	0.00149031296572	0.000212901852246	0.03125	0.00446428571429
47	CNAG_00040T0	73	1574.0	2573.0	88.0	766.0	2471	0.000635324015248	8.70306870202e-06	0.0113636363636	0.000155666251557
48	CNAG_00043T0	14	426.0	316.0	34.0	58.0	3465	0.00234741784038	0.000167672702884	0.0294117647059	0.00210084033613
49	CNAG_00043T1	14	426.0	316.0	34.0	58.0	3465	0.00234741784038	0.000167672702884	0.0294117647059	0.00210084033613
50	CNAG_00044T0	33	1936.0	1545.0	100.0	345.0	3963	0.00051652892562	1.56523916854e-05	0.01	0.00030303030303
51	CNAG_00045T0	10	599.0	306.0	22.0	81.0	1578	0.0016694490818	0.00016694490818	0.0454545454545	0.00454545454545
52	CNAG_00046T0	49	3179.0	3030.0	242.0	582.0	1641	0.000314564328405	6.41968017153e-06	0.00413223140496	8.43312531624e-05
53	CNAG_00047T0	13	678.0	1292.0	25.0	439.0	2436	0.00147492625369	0.000113455865668	0.04	0.00307692307692
54	CNAG_00048T0	1	56.0	94.0	4.0	25.0	2576	0.0178571428571	0.0178571428571	0.25	0.25
56	CNAG_00050T0	4	364.0	463.0	22.0	121.0	1447	0.00274725274725	0.000686813186813	0.0454545454545	0.0113636363636
57	CNAG_00051T0	61	1551.0	3576.0	125.0	612.0	6668	0.000644745325596	1.05695955016e-05	0.008	0.000131147540984
58	CNAG_00051T1	61	1551.0	3576.0	125.0	612.0	6668	0.000644745325596	1.05695955016e-05	0.008	0.000131147540984
59	CNAG_00052T0	18	1981.0	1273.0	82.0	321.0	721	0.000504795557799	2.80441976555e-05	0.0121951219512	0.000677506775068
60	CNAG_00053T0	1	109.0	285.0	22.0	43.0	1036	0.00917431192661	0.00917431192661	0.0454545454545	0.0454545454545
61	CNAG_00054T0	16	1580.0	214.0	16.0	92.0	1272	0.000632911392405	3.95569620253e-05	0.0625	0.00390625
62	CNAG_00055T0	8	1189.0	410.0	134.0	69.0	1494	0.000841042893188	0.000105130361648	0.00746268656716	0.000932835820896
63	CNAG_00056T0	15	904.0	588.0	52.0	104.0	2360	0.00110619469027	7.37463126844e-05	0.0192307692308	0.00128205128205
64	CNAG_00057T0	231	25323.0	15989.0	865.0	7346.0	1641	3.94897918888e-05	1.70951480038e-07	0.00115606936416	5.00462928209e-06
65	CNAG_00058T0	58	3020.0	4912.0	245.0	1132.0	2811	0.000331125827815	5.7090659968e-06	0.00408163265306	7.03729767769e-05
66	CNAG_00059T0	2	111.0	112.0	6.0	15.0	1055	0.00900900900901	0.0045045045045	0.166666666667	0.0833333333333
67	CNAG_00060T0	13	802.0	1026.0	57.0	178.0	1708	0.00124688279302	9.59140610013e-05	0.0175438596491	0.00134952766532
68	CNAG_00060T1	11	751.0	706.0	51.0	122.0	1708	0.00133155792277	0.000121050720252	0.0196078431373	0.0017825311943
69	CNAG_00061T0	290	13734.0	18749.0	1262.0	5517.0	2976	7.28119994175e-05	2.5107586006e-07	0.000792393026941	2.73238974807e-06
70	CNAG_00062T0	47	2809.0	1947.0	203.0	378.0	2135	0.000355998576006	7.57443778736e-06	0.00492610837438	0.000104810816476
71	CNAG_00063T0	5	136.0	301.0	18.0	40.0	1497	0.00735294117647	0.00147058823529	0.0555555555556	0.0111111111111
72	CNAG_00064T0	28	1164.0	2360.0	124.0	379.0	1239	0.00085910652921	3.06823760432e-05	0.00806451612903	0.00028801843318
73	CNAG_00065T0	66	5078.0	4526.0	346.0	653.0	1977	0.00019692792438	2.98375643e-06	0.0028901734104	4.37905062183e-05
74	CNAG_00066T0	45	1586.0	2003.0	74.0	447.0	4875	0.00063051702396	1.40114894213e-05	0.0135135135135	0.0003003003003
75	CNAG_00067T0	31	1006.0	2075.0	119.0	399.0	2419	0.000994035785288	3.20656704932e-05	0.00840336134454	0.000271076172404
76	CNAG_00068T0	12	248.0	1220.0	18.0	232.0	3918	0.00403225806452	0.000336021505376	0.0555555555556	0.00462962962963
77	CNAG_00069T0	1	15.0	51.0	3.0	5.0	1260	0.0666666666667	0.0666666666667	0.333333333333	0.333333333333
78	CNAG_00070T0	17	1140.0	837.0	41.0	192.0	3038	0.000877192982456	5.15995872033e-05	0.0243902439024	0.00143472022956
79	CNAG_00072T0	56	4406.0	3681.0	213.0	861.0	2013	0.000226963231956	4.05291485636e-06	0.00469483568075	8.3836351442e-05
80	CNAG_00073T0	66	2191.0	3600.0	112.0	792.0	4050	0.000456412596988	6.9153423786e-06	0.00892857142857	0.000135281385281
81	CNAG_00074T0	46	2101.0	5172.0	158.0	907.0	2933	0.000475963826749	1.03470397119e-05	0.00632911392405	0.000137589433132
82	CNAG_00075T0	26	4484.0	1353.0	254.0	234.0	1024	0.000223015165031	8.57750634735e-06	0.00393700787402	0.00015142337977
83	CNAG_00076T0	27	775.0	4249.0	80.0	715.0	2519	0.00129032258065	4.77897252091e-05	0.0125	0.000462962962963
84	CNAG_00077T0	28	1519.0	1854.0	92.0	470.0	3166	0.000658327847268	2.3511708831e-05	0.0108695652174	0.000388198757764
85	CNAG_00078T0	9	337.0	871.0	33.0	129.0	4750	0.00296735905045	0.000329706561161	0.030303030303	0.003367003367
86	CNAG_00079T0	5	590.0	606.0	28.0	225.0	1501	0.00169491525424	0.000338983050847	0.0357142857143	0.00714285714286
87	CNAG_00080T0	4	23.0	389.0	4.0	72.0	1984	0.0434782608696	0.0108695652174	0.25	0.0625
88	CNAG_00081T0	32	1661.0	2446.0	117.0	505.0	3388	0.000602046959663	1.88139674895e-05	0.00854700854701	0.000267094017094
89	CNAG_00082T0	3	999.0	514.0	60.0	101.0	1262	0.001001001001	0.000333667000334	0.0166666666667	0.00555555555556
90	CNAG_00083T0	10	611.0	597.0	41.0	102.0	3317	0.00163666121113	0.000163666121113	0.0243902439024	0.00243902439024
91	CNAG_00084T0	21	977.0	1438.0	81.0	203.0	4479	0.00102354145343	4.87400692109e-05	0.0123456790123	0.000587889476778
92	CNAG_00085T0	4	450.0	410.0	56.0	61.0	1132	0.00222222222222	0.000555555555556	0.0178571428571	0.00446428571429
93	CNAG_00086T0	5	257.0	248.0	32.0	33.0	2407	0.00389105058366	0.000778210116732	0.03125	0.00625
94	CNAG_00087T0	28	1590.0	1112.0	88.0	318.0	2941	0.00062893081761	2.24618149146e-05	0.0113636363636	0.000405844155844
95	CNAG_00088T0	30	2759.0	2039.0	241.0	452.0	1679	0.000362450163103	1.20816721034e-05	0.00414937759336	0.000138312586445
96	CNAG_00089T0	11	435.0	589.0	42.0	72.0	1495	0.00229885057471	0.000208986415883	0.0238095238095	0.0021645021645
97	CNAG_00090T0	23	567.0	1958.0	58.0	242.0	2191	0.00176366843034	7.66812361015e-05	0.0172413793103	0.000749625187406
98	CNAG_00090T1	23	567.0	1958.0	58.0	242.0	2191	0.00176366843034	7.66812361015e-05	0.0172413793103	0.000749625187406
99	CNAG_00091T0	756	59943.0	15949.0	1328.0	6682.0	2256	1.6682515056e-05	2.20668188571e-08	0.000753012048193	9.96047682795e-07
100	CNAG_00092T0	15	2455.0	862.0	295.0	166.0	917	0.00040733197556	2.71554650373e-05	0.00338983050847	0.000225988700565
101	CNAG_00093T0	172	7382.0	13118.0	269.0	4058.0	3062	0.000135464643728	7.87585137953e-07	0.00371747211896	2.16132099939e-05
102	CNAG_00094T0	8	366.0	1028.0	28.0	502.0	5520	0.00273224043716	0.000341530054645	0.0357142857143	0.00446428571429
103	CNAG_00095T0	8	382.0	600.0	39.0	101.0	3945	0.00261780104712	0.00032722513089	0.025641025641	0.00320512820513
104	CNAG_00096T0	2	339.0	218.0	19.0	37.0	2935	0.00294985250737	0.00147492625369	0.0526315789474	0.0263157894737
105	CNAG_00097T0	11	262.0	1087.0	18.0	215.0	2891	0.00381679389313	0.000346981263012	0.0555555555556	0.00505050505051
106	CNAG_00098T0	12	1173.0	852.0	40.0	234.0	3121	0.000852514919011	7.10429099176e-05	0.025	0.00208333333333
107	CNAG_00099T0	14	667.0	884.0	60.0	148.0	3112	0.00149925037481	0.000107089312487	0.0166666666667	0.00119047619048
108	CNAG_00100T0	77	2562.0	6908.0	317.0	2417.0	2235	0.000390320062451	5.06909172015e-06	0.00315457413249	4.09684952272e-05
109	CNAG_00101T0	8	467.0	454.0	37.0	55.0	1283	0.00214132762313	0.000267665952891	0.027027027027	0.00337837837838
110	CNAG_00104T0	59	1258.0	1267.0	143.0	277.0	4024	0.000794912559618	1.34730942308e-05	0.00699300699301	0.000118525542254
111	CNAG_00105T0	4	169.0	371.0	15.0	67.0	1471	0.00591715976331	0.00147928994083	0.0666666666667	0.0166666666667
112	CNAG_00106T0	57	1080.0	5112.0	82.0	1638.0	5047	0.000925925925926	1.62443144899e-05	0.0121951219512	0.000213949507916
113	CNAG_00107T0	42	2869.0	1974.0	143.0	646.0	2062	0.000348553502963	8.29889292768e-06	0.00699300699301	0.0001665001665
114	CNAG_00108T0	21	2307.0	893.0	166.0	256.0	1793	0.000433463372345	2.06411129688e-05	0.00602409638554	0.000286861732645
115	CNAG_00109T0	9	2184.0	135.0	151.0	30.0	1366	0.000457875457875	5.08750508751e-05	0.00662251655629	0.000735835172921
116	CNAG_00109T1	9	2184.0	135.0	151.0	30.0	1366	0.000457875457875	5.08750508751e-05	0.00662251655629	0.000735835172921
117	CNAG_00110T0	2	229.0	266.0	31.0	34.0	2426	0.00436681222707	0.00218340611354	0.0322580645161	0.0161290322581
118	CNAG_00111T0	32	2026.0	1338.0	145.0	319.0	2512	0.000493583415597	1.54244817374e-05	0.00689655172414	0.000215517241379
119	CNAG_00115T0	297	13234.0	22525.0	495.0	8736.0	1647	7.55629439323e-05	2.54420686641e-07	0.0020202020202	6.80202700405e-06
120	CNAG_00116T0	140	20108.0	3502.0	2336.0	579.0	1806	4.97314501691e-05	3.55224644065e-07	0.000428082191781	3.05772994129e-06
121	CNAG_00117T0	26	583.0	1016.0	41.0	133.0	2496	0.00171526586621	6.5971764085e-05	0.0243902439024	0.00093808630394
122	CNAG_00118T0	5	710.0	167.0	67.0	24.0	1203	0.00140845070423	0.000281690140845	0.0149253731343	0.00298507462687
123	CNAG_00119T0	2	471.0	145.0	22.0	13.0	917	0.00212314225053	0.00106157112527	0.0454545454545	0.0227272727273
124	CNAG_00120T0	4	486.0	250.0	30.0	38.0	1277	0.00205761316872	0.000514403292181	0.0333333333333	0.00833333333333
125	CNAG_00121T0	95	9567.0	6173.0	473.0	1421.0	2181	0.000104525974705	1.10027341794e-06	0.00211416490486	2.22543674196e-05
126	CNAG_00122T0	8	357.0	765.0	28.0	206.0	3331	0.00280112044818	0.000350140056022	0.0357142857143	0.00446428571429
127	CNAG_00123T0	12	1329.0	1017.0	75.0	212.0	1442	0.000752445447705	6.27037873088e-05	0.0133333333333	0.00111111111111
128	CNAG_00124T0	13	264.0	675.0	18.0	69.0	2484	0.00378787878788	0.000291375291375	0.0555555555556	0.0042735042735
129	CNAG_00125T0	3	97.0	388.0	6.0	59.0	4136	0.0103092783505	0.00343642611684	0.166666666667	0.0555555555556
130	CNAG_00126T0	44	1544.0	4108.0	126.0	1137.0	1545	0.000647668393782	1.47197362223e-05	0.00793650793651	0.000180375180375
131	CNAG_00127T0	6	251.0	758.0	33.0	90.0	2723	0.00398406374502	0.00066401062417	0.030303030303	0.00505050505051
132	CNAG_00128T0	18	204.0	1456.0	26.0	225.0	4324	0.00490196078431	0.000272331154684	0.0384615384615	0.00213675213675
133	CNAG_00129T0	10	201.0	335.0	19.0	51.0	2156	0.00497512437811	0.000497512437811	0.0526315789474	0.00526315789474
134	CNAG_00130T0	247	11370.0	19432.0	501.0	5390.0	5142	8.79507475814e-05	3.56075901139e-07	0.00199600798403	8.08100398393e-06
135	CNAG_00131T0	2	53.0	167.0	4.0	20.0	2070	0.0188679245283	0.00943396226415	0.25	0.125
136	CNAG_00132T0	3	87.0	231.0	5.0	39.0	3870	0.0114942528736	0.00383141762452	0.2	0.0666666666667
137	CNAG_00132T1	3	87.0	231.0	5.0	39.0	3870	0.0114942528736	0.00383141762452	0.2	0.0666666666667
138	CNAG_00133T0	5	418.0	751.0	40.0	103.0	1786	0.00239234449761	0.000478468899522	0.025	0.005
139	CNAG_00134T0	26	878.0	2280.0	77.0	446.0	3029	0.00113895216401	4.38058524619e-05	0.012987012987	0.0004995004995
140	CNAG_00135T0	6	652.0	262.0	58.0	45.0	646	0.00153374233129	0.000255623721881	0.0172413793103	0.00287356321839
141	CNAG_00136T0	133	6177.0	5572.0	304.0	1429.0	4040	0.000161890885543	1.21722470333e-06	0.00328947368421	2.47328848437e-05
142	CNAG_00137T0	19	1500.0	2061.0	74.0	335.0	1925	0.000666666666667	3.50877192982e-05	0.0135135135135	0.000711237553343
143	CNAG_00138T0	23	1987.0	988.0	129.0	170.0	1424	0.000503271263211	2.188135927e-05	0.0077519379845	0.000337040781935
144	CNAG_00139T0	231	24431.0	11093.0	675.0	3359.0	1846	4.09316032909e-05	1.77193087839e-07	0.00148148148148	6.41333974667e-06
145	CNAG_00140T0	37	2538.0	1674.0	151.0	348.0	2863	0.000394011032309	1.06489468192e-05	0.00662251655629	0.000178986933954
146	CNAG_00141T0	8	875.0	1250.0	48.0	281.0	1662	0.00114285714286	0.000142857142857	0.0208333333333	0.00260416666667
147	CNAG_00142T0	10	226.0	298.0	25.0	48.0	3025	0.00442477876106	0.000442477876106	0.04	0.004
148	CNAG_00143T0	49	3429.0	1164.0	226.0	179.0	2487	0.00029163021289	5.95163699776e-06	0.00442477876106	9.03016073686e-05
149	CNAG_00144T0	2	98.0	355.0	7.0	42.0	2003	0.0102040816327	0.00510204081633	0.142857142857	0.0714285714286
150	CNAG_00144T1	2	98.0	355.0	7.0	42.0	1179	0.0102040816327	0.00510204081633	0.142857142857	0.0714285714286
151	CNAG_00145T0	4	551.0	584.0	55.0	86.0	1596	0.00181488203267	0.000453720508167	0.0181818181818	0.00454545454545
152	CNAG_00146T0	16	1334.0	1390.0	88.0	222.0	1985	0.000749625187406	4.68515742129e-05	0.0113636363636	0.000710227272727
153	CNAG_00147T0	293	8853.0	10476.0	600.0	2695.0	8511	0.000112956060093	3.85515563456e-07	0.00166666666667	5.68828213879e-06
154	CNAG_00148T0	149	6079.0	4394.0	275.0	1223.0	6585	0.000164500740253	1.10403181378e-06	0.00363636363636	2.44051250763e-05
155	CNAG_00149T0	9	301.0	1076.0	124.0	198.0	931	0.00332225913621	0.000369139904024	0.00806451612903	0.00089605734767
156	CNAG_00150T0	52	2846.0	2594.0	183.0	636.0	3784	0.000351370344343	6.75712200659e-06	0.00546448087432	0.00010508617066
157	CNAG_00151T0	21	1112.0	1054.0	106.0	342.0	2961	0.00089928057554	4.28228845495e-05	0.00943396226415	0.000449236298293
158	CNAG_00152T0	11	462.0	1132.0	54.0	181.0	2273	0.0021645021645	0.000196772924046	0.0185185185185	0.0016835016835
159	CNAG_00153T0	7	384.0	522.0	41.0	77.0	2131	0.00260416666667	0.000372023809524	0.0243902439024	0.00348432055749
160	CNAG_00153T1	7	268.0	418.0	35.0	61.0	2131	0.00373134328358	0.000533049040512	0.0285714285714	0.00408163265306
161	CNAG_00154T0	59	2044.0	3600.0	77.0	871.0	2158	0.000489236790607	8.29214899333e-06	0.012987012987	0.000220118864187
163	CNAG_00156T0	63	1351.0	3996.0	100.0	1444.0	4400	0.000740192450037	1.17490865085e-05	0.01	0.00015873015873
164	CNAG_00156T1	63	1351.0	3996.0	100.0	1444.0	4400	0.000740192450037	1.17490865085e-05	0.01	0.00015873015873
165	CNAG_00157T0	60	2503.0	4461.0	291.0	1251.0	2640	0.00039952057531	6.65867625516e-06	0.00343642611684	5.7273768614e-05
166	CNAG_00158T0	11	495.0	892.0	27.0	221.0	2545	0.0020202020202	0.000183654729109	0.037037037037	0.003367003367
167	CNAG_00159T0	6	331.0	91.0	34.0	10.0	574	0.00302114803625	0.000503524672709	0.0294117647059	0.00490196078431
168	CNAG_00160T0	3	113.0	367.0	14.0	52.0	1420	0.00884955752212	0.00294985250737	0.0714285714286	0.0238095238095
169	CNAG_00161T0	10	219.0	1214.0	33.0	311.0	1688	0.00456621004566	0.000456621004566	0.030303030303	0.0030303030303
170	CNAG_00162T0	438	14006.0	31157.0	532.0	16318.0	1685	7.13979722976e-05	1.63009069173e-07	0.00187969924812	4.2915507948e-06
171	CNAG_00163T0	40	834.0	3981.0	61.0	680.0	4025	0.00119904076739	2.99760191847e-05	0.016393442623	0.000409836065574
172	CNAG_00163T1	40	834.0	3981.0	61.0	680.0	4025	0.00119904076739	2.99760191847e-05	0.016393442623	0.000409836065574
173	CNAG_00164T0	15	103.0	1179.0	32.0	175.0	2102	0.00970873786408	0.000647249190939	0.03125	0.00208333333333
174	CNAG_00165T0	10	1252.0	502.0	126.0	91.0	1427	0.000798722044728	7.98722044728e-05	0.00793650793651	0.000793650793651
175	CNAG_00166T0	3	172.0	273.0	23.0	36.0	2238	0.00581395348837	0.00193798449612	0.0434782608696	0.0144927536232
176	CNAG_00167T0	18	990.0	1418.0	45.0	347.0	2340	0.0010101010101	5.61167227834e-05	0.0222222222222	0.00123456790123
177	CNAG_00171T0	3	329.0	660.0	34.0	97.0	1798	0.00303951367781	0.00101317122594	0.0294117647059	0.00980392156863
178	CNAG_00172T0	14	255.0	696.0	51.0	128.0	3884	0.00392156862745	0.000280112044818	0.0196078431373	0.00140056022409
179	CNAG_00173T0	8	325.0	1228.0	34.0	177.0	1464	0.00307692307692	0.000384615384615	0.0294117647059	0.00367647058824
180	CNAG_00174T0	49	2550.0	2318.0	134.0	529.0	4109	0.000392156862745	8.00320128051e-06	0.00746268656716	0.00015229972586
181	CNAG_00175T0	22	1930.0	630.0	75.0	141.0	2313	0.000518134715026	2.35515779557e-05	0.0133333333333	0.000606060606061
182	CNAG_00176T0	77	6676.0	5861.0	356.0	1006.0	2467	0.000149790293589	1.94532848817e-06	0.00280898876404	3.6480373559e-05
183	CNAG_00176T1	69	6481.0	5180.0	337.0	918.0	2467	0.000154297176362	2.23619096176e-06	0.00296735905045	4.30052036296e-05
184	CNAG_00177T0	12	35.0	1222.0	15.0	198.0	2258	0.0285714285714	0.00238095238095	0.0666666666667	0.00555555555556
185	CNAG_00178T0	16	678.0	1097.0	33.0	189.0	4708	0.00147492625369	9.21828908555e-05	0.030303030303	0.00189393939394
186	CNAG_00179T0	1	40.0	224.0	3.0	20.0	2498	0.025	0.025	0.333333333333	0.333333333333
187	CNAG_00179T1	1	40.0	224.0	3.0	20.0	2498	0.025	0.025	0.333333333333	0.333333333333
188	CNAG_00180T0	38	3655.0	2647.0	186.0	661.0	1374	0.000273597811218	7.19994240046e-06	0.00537634408602	0.000141482739106
189	CNAG_00181T0	19	961.0	1984.0	56.0	392.0	2267	0.00104058272633	5.47675119119e-05	0.0178571428571	0.00093984962406
190	CNAG_00182T0	10	955.0	917.0	70.0	155.0	1595	0.00104712041885	0.000104712041885	0.0142857142857	0.00142857142857
191	CNAG_00182T1	10	955.0	917.0	70.0	155.0	1595	0.00104712041885	0.000104712041885	0.0142857142857	0.00142857142857
192	CNAG_00183T0	35	2218.0	2622.0	63.0	1447.0	2666	0.000450856627592	1.28816179312e-05	0.015873015873	0.000453514739229
193	CNAG_00183T1	29	2079.0	2020.0	61.0	1154.0	2666	0.000481000481	1.65862234828e-05	0.016393442623	0.000565291124929
194	CNAG_00184T0	26	1661.0	1358.0	100.0	188.0	2721	0.000602046959663	2.31556522947e-05	0.01	0.000384615384615
195	CNAG_00185T0	21	1690.0	611.0	94.0	130.0	1510	0.000591715976331	2.81769512539e-05	0.0106382978723	0.000506585612969
196	CNAG_00186T0	2	166.0	279.0	9.0	39.0	662	0.00602409638554	0.00301204819277	0.111111111111	0.0555555555556
197	CNAG_00187T0	20	808.0	821.0	69.0	149.0	2442	0.00123762376238	6.18811881188e-05	0.0144927536232	0.000724637681159
198	CNAG_00188T0	10	609.0	884.0	49.0	126.0	1136	0.00164203612479	0.000164203612479	0.0204081632653	0.00204081632653
199	CNAG_00189T0	4	781.0	878.0	56.0	119.0	1621	0.00128040973111	0.000320102432778	0.0178571428571	0.00446428571429
200	CNAG_00190T0	35	2322.0	1880.0	94.0	606.0	2319	0.000430663221361	1.23046634675e-05	0.0106382978723	0.000303951367781
201	CNAG_00191T0	5	112.0	506.0	6.0	66.0	2121	0.00892857142857	0.00178571428571	0.166666666667	0.0333333333333
202	CNAG_00192T0	10	539.0	705.0	12.0	129.0	4251	0.00185528756957	0.000185528756957	0.0833333333333	0.00833333333333
203	CNAG_00193T0	46	1409.0	2363.0	144.0	488.0	5476	0.000709723207949	1.54287653902e-05	0.00694444444444	0.000150966183575
204	CNAG_00194T0	11	898.0	1165.0	80.0	223.0	1408	0.0011135857461	0.000101235067827	0.0125	0.00113636363636
205	CNAG_00195T0	5	343.0	205.0	32.0	20.0	1033	0.00291545189504	0.000583090379009	0.03125	0.00625
206	CNAG_00229T0	1	297.0	27.0	6.0	5.0	3711	0.003367003367	0.003367003367	0.166666666667	0.166666666667
207	CNAG_00231T0	2	217.0	367.0	22.0	57.0	1817	0.00460829493088	0.00230414746544	0.0454545454545	0.0227272727273
208	CNAG_00232T0	118	20836.0	4875.0	3361.0	719.0	993	4.79938567863e-05	4.06727599884e-07	0.000297530496876	2.52144488878e-06
209	CNAG_00233T0	11	638.0	752.0	72.0	111.0	813	0.00156739811912	0.000142490738102	0.0138888888889	0.00126262626263
210	CNAG_00234T0	5	406.0	211.0	34.0	28.0	1521	0.00246305418719	0.000492610837438	0.0294117647059	0.00588235294118
211	CNAG_00235T0	27	756.0	2702.0	65.0	409.0	4161	0.00132275132275	4.89907897315e-05	0.0153846153846	0.000569800569801
212	CNAG_00236T0	15	314.0	1169.0	53.0	213.0	1842	0.0031847133758	0.000212314225053	0.0188679245283	0.00125786163522
213	CNAG_00237T0	78	4443.0	2328.0	344.0	364.0	2781	0.000225073148773	2.8855531894e-06	0.00290697674419	3.72689326178e-05
214	CNAG_00238T0	124	5741.0	5386.0	445.0	1289.0	3959	0.000174185681937	1.40472324143e-06	0.00224719101124	1.81225081551e-05
215	CNAG_00239T0	30	771.0	2060.0	40.0	478.0	2857	0.00129701686122	4.3233895374e-05	0.025	0.000833333333333
