	Transcript	150904CM018-A_x	150904CM018-B_x	150904CM018-W_x	150904CM763-A_x	150904CM763-B_x	150904CM763-W_x	150904CM764-A_x	150904CM764-B_x	150904CM764-W_x	Intron	150904CM018-A_y	150904CM018-B_y	150904CM018-W_y	150904CM763-A_y	150904CM763-B_y	150904CM763-W_y	150904CM764-A_y	150904CM764-B_y	150904CM764-W_y	Length	150904CM763-B_x_norm	150904CM764-B_x_norm
3	CNAG_00004T0	8	19.0	688	310	1673	58.0	267.0	328.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	4.0	0.0	0.0	3453	inf	inf
3	CNAG_00004T0	8	19.0	688	310	1673	58.0	267.0	328.0	0.0	2.0	0.0	0.0	0.0	6.0	1.0	0.0	4.0	1.0	0.0	3453	inf	inf
3	CNAG_00004T0	8	19.0	688	310	1673	58.0	267.0	328.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3453	inf	inf
3	CNAG_00004T0	8	19.0	688	310	1673	58.0	267.0	328.0	0.0	4.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	3453	inf	inf
3	CNAG_00004T0	8	19.0	688	310	1673	58.0	267.0	328.0	0.0	5.0	0.0	0.0	0.0	5.0	0.0	0.0	2.0	0.0	0.0	3453	inf	inf
3	CNAG_00004T0	8	19.0	688	310	1673	58.0	267.0	328.0	0.0	6.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0	0.0	0.0	3453	inf	inf
3	CNAG_00004T0	8	19.0	688	310	1673	58.0	267.0	328.0	0.0	7.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	3453	inf	inf
3	CNAG_00004T0	8	19.0	688	310	1673	58.0	267.0	328.0	0.0	8.0	0.0	0.0	0.0	4.0	1.0	0.0	3.0	0.0	0.0	3453	inf	inf
3	CNAG_00004T0	8	19.0	688	310	1673	58.0	267.0	328.0	0.0	9.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3453	inf	inf
3	CNAG_00004T0	8	19.0	688	310	1673	58.0	267.0	328.0	0.0	10.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	3453	inf	inf
3	CNAG_00004T0	8	19.0	688	310	1673	58.0	267.0	328.0	0.0	11.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	3453	inf	inf
3	CNAG_00004T0	8	19.0	688	310	1673	58.0	267.0	328.0	0.0	12.0	0.0	0.0	0.0	4.0	0.0	0.0	3.0	0.0	0.0	3453	inf	inf
3	CNAG_00004T0	8	19.0	688	310	1673	58.0	267.0	328.0	0.0	13.0	0.0	0.0	0.0	3.0	3.0	0.0	3.0	0.0	0.0	3453	inf	inf
4	CNAG_00005T0	5	10.0	592	117	701	54.0	142.0	156.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2410	0.0	0.0
5	CNAG_00006T0	12	84.0	5051	493	2088	266.0	663.0	661.0	0.0	1.0	0.0	1.0	0.0	9.0	4.0	0.0	6.0	0.0	0.0	1609	inf	inf
5	CNAG_00006T0	12	84.0	5051	493	2088	266.0	663.0	661.0	0.0	2.0	0.0	1.0	0.0	11.0	3.0	0.0	7.0	1.0	0.0	1609	inf	inf
5	CNAG_00006T0	12	84.0	5051	493	2088	266.0	663.0	661.0	0.0	3.0	0.0	0.0	0.0	32.0	6.0	0.0	27.0	1.0	0.0	1609	inf	inf
5	CNAG_00006T0	12	84.0	5051	493	2088	266.0	663.0	661.0	0.0	4.0	0.0	0.0	0.0	21.0	3.0	0.0	19.0	0.0	0.0	1609	inf	inf
6	CNAG_00007T0	12	30.0	1951	261	1868	125.0	292.0	337.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2290	inf	inf
6	CNAG_00007T0	12	30.0	1951	261	1868	125.0	292.0	337.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	2290	inf	inf
6	CNAG_00007T0	12	30.0	1951	261	1868	125.0	292.0	337.0	0.0	3.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	2290	inf	inf
6	CNAG_00007T0	12	30.0	1951	261	1868	125.0	292.0	337.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	1.0	0.0	2290	inf	inf
6	CNAG_00007T0	12	30.0	1951	261	1868	125.0	292.0	337.0	0.0	5.0	0.0	0.0	0.0	3.0	1.0	0.0	2.0	0.0	0.0	2290	inf	inf
7	CNAG_00008T0	13	74.0	2059	541	4665	123.0	525.0	815.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4358	inf	inf
7	CNAG_00008T0	13	74.0	2059	541	4665	123.0	525.0	815.0	0.0	2.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	4358	inf	inf
7	CNAG_00008T0	13	74.0	2059	541	4665	123.0	525.0	815.0	0.0	3.0	0.0	1.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	4358	inf	inf
7	CNAG_00008T0	13	74.0	2059	541	4665	123.0	525.0	815.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	4358	inf	inf
7	CNAG_00008T0	13	74.0	2059	541	4665	123.0	525.0	815.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4358	inf	inf
7	CNAG_00008T0	13	74.0	2059	541	4665	123.0	525.0	815.0	0.0	6.0	0.0	0.0	0.0	6.0	0.0	0.0	4.0	0.0	0.0	4358	inf	inf
7	CNAG_00008T0	13	74.0	2059	541	4665	123.0	525.0	815.0	0.0	7.0	0.0	0.0	0.0	3.0	3.0	0.0	5.0	0.0	0.0	4358	inf	inf
7	CNAG_00008T0	13	74.0	2059	541	4665	123.0	525.0	815.0	0.0	8.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	4358	inf	inf
7	CNAG_00008T0	13	74.0	2059	541	4665	123.0	525.0	815.0	0.0	9.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4358	inf	inf
7	CNAG_00008T0	13	74.0	2059	541	4665	123.0	525.0	815.0	0.0	10.0	0.0	0.0	0.0	7.0	2.0	0.0	3.0	0.0	0.0	4358	inf	inf
7	CNAG_00008T0	13	74.0	2059	541	4665	123.0	525.0	815.0	0.0	11.0	0.0	0.0	0.0	5.0	0.0	0.0	2.0	0.0	0.0	4358	inf	inf
7	CNAG_00008T0	13	74.0	2059	541	4665	123.0	525.0	815.0	0.0	12.0	0.0	0.0	0.0	4.0	2.0	0.0	1.0	0.0	0.0	4358	inf	inf
8	CNAG_00009T0	2	7.0	865	111	560	82.0	107.0	114.0	0.0	1.0	0.0	0.0	0.0	8.0	2.0	0.0	2.0	0.0	0.0	1774	inf	inf
8	CNAG_00009T0	2	7.0	865	111	560	82.0	107.0	114.0	0.0	2.0	0.0	1.0	0.0	10.0	3.0	0.0	2.0	0.0	0.0	1774	inf	inf
8	CNAG_00009T0	2	7.0	865	111	560	82.0	107.0	114.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1774	inf	inf
8	CNAG_00009T0	2	7.0	865	111	560	82.0	107.0	114.0	0.0	4.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0	0.0	0.0	1774	inf	inf
8	CNAG_00009T0	2	7.0	865	111	560	82.0	107.0	114.0	0.0	5.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	1774	inf	inf
9	CNAG_00010T0	4	15.0	541	139	1019	64.0	99.0	137.0	0.0	1.0	0.0	0.0	0.0	6.0	1.0	0.0	4.0	0.0	0.0	4077	inf	inf
9	CNAG_00010T0	4	15.0	541	139	1019	64.0	99.0	137.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	4077	inf	inf
9	CNAG_00010T0	4	15.0	541	139	1019	64.0	99.0	137.0	0.0	3.0	0.0	0.0	0.0	6.0	1.0	0.0	5.0	0.0	0.0	4077	inf	inf
10	CNAG_00011T0	6	25.0	1554	224	1335	65.0	226.0	248.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	2039	inf	inf
10	CNAG_00011T0	6	25.0	1554	224	1335	65.0	226.0	248.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	2039	inf	inf
10	CNAG_00011T0	6	25.0	1554	224	1335	65.0	226.0	248.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	2039	inf	inf
10	CNAG_00011T0	6	25.0	1554	224	1335	65.0	226.0	248.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2039	inf	inf
11	CNAG_00012T0	9	17.0	1650	241	1035	77.0	228.0	204.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1660	inf	inf
11	CNAG_00012T0	9	17.0	1650	241	1035	77.0	228.0	204.0	0.0	2.0	0.0	0.0	0.0	9.0	2.0	0.0	3.0	0.0	0.0	1660	inf	inf
11	CNAG_00012T0	9	17.0	1650	241	1035	77.0	228.0	204.0	0.0	3.0	0.0	0.0	0.0	3.0	2.0	0.0	2.0	0.0	0.0	1660	inf	inf
12	CNAG_00013T0	20	29.0	2355	661	4014	133.0	845.0	1024.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	5.0	1.0	0.0	2647	inf	inf
13	CNAG_00013T1	20	29.0	2355	661	4014	133.0	845.0	1024.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	2647	inf	inf
13	CNAG_00013T1	20	29.0	2355	661	4014	133.0	845.0	1024.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	5.0	1.0	0.0	2647	inf	inf
14	CNAG_00013T2	20	29.0	2355	661	4014	133.0	845.0	1024.0	0.0	1.0	0.0	0.0	0.0	2.0	3.0	0.0	1.0	0.0	0.0	2647	inf	inf
14	CNAG_00013T2	20	29.0	2355	661	4014	133.0	845.0	1024.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	5.0	1.0	0.0	2647	inf	inf
15	CNAG_00014T0	10	27.0	449	570	2948	40.0	688.0	794.0	0.0	1.0	0.0	0.0	0.0	11.0	11.0	0.0	6.0	3.0	0.0	2930	inf	inf
15	CNAG_00014T0	10	27.0	449	570	2948	40.0	688.0	794.0	0.0	2.0	0.0	0.0	0.0	4.0	4.0	0.0	5.0	2.0	0.0	2930	inf	inf
15	CNAG_00014T0	10	27.0	449	570	2948	40.0	688.0	794.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	4.0	2.0	0.0	2930	inf	inf
17	CNAG_00016T0	7	12.0	1774	417	1685	152.0	316.0	302.0	0.0	1.0	0.0	0.0	0.0	4.0	2.0	0.0	5.0	0.0	0.0	1328	inf	inf
17	CNAG_00016T0	7	12.0	1774	417	1685	152.0	316.0	302.0	0.0	2.0	0.0	1.0	1.0	123.0	20.0	0.0	42.0	3.0	1.0	1328	inf	1.0
18	CNAG_00017T0	2	1.0	323	45	336	24.0	49.0	64.0	0.0	1.0	0.0	0.0	0.0	4.0	1.0	0.0	1.0	0.0	0.0	3264	inf	inf
18	CNAG_00017T0	2	1.0	323	45	336	24.0	49.0	64.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	3264	inf	inf
18	CNAG_00017T0	2	1.0	323	45	336	24.0	49.0	64.0	0.0	3.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	3264	inf	inf
19	CNAG_00018T0	6	25.0	2085	109	690	151.0	94.0	115.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2829	inf	inf
19	CNAG_00018T0	6	25.0	2085	109	690	151.0	94.0	115.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	2829	inf	inf
19	CNAG_00018T0	6	25.0	2085	109	690	151.0	94.0	115.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	2829	inf	inf
20	CNAG_00019T0	7	16.0	2305	113	481	258.0	91.0	79.0	0.0	1.0	0.0	0.0	0.0	6.0	5.0	0.0	5.0	0.0	0.0	761	inf	inf
21	CNAG_00020T0	14	60.0	3316	643	3912	206.0	523.0	686.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	3910	inf	inf
21	CNAG_00020T0	14	60.0	3316	643	3912	206.0	523.0	686.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0	0.0	3910	inf	inf
21	CNAG_00020T0	14	60.0	3316	643	3912	206.0	523.0	686.0	0.0	3.0	0.0	0.0	0.0	6.0	1.0	0.0	4.0	0.0	0.0	3910	inf	inf
21	CNAG_00020T0	14	60.0	3316	643	3912	206.0	523.0	686.0	0.0	4.0	0.0	0.0	0.0	7.0	0.0	0.0	2.0	0.0	0.0	3910	inf	inf
21	CNAG_00020T0	14	60.0	3316	643	3912	206.0	523.0	686.0	0.0	5.0	0.0	1.0	0.0	113.0	9.0	1.0	43.0	2.0	0.0	3910	1.0	inf
21	CNAG_00020T0	14	60.0	3316	643	3912	206.0	523.0	686.0	0.0	6.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3910	inf	inf
21	CNAG_00020T0	14	60.0	3316	643	3912	206.0	523.0	686.0	0.0	7.0	0.0	0.0	0.0	6.0	1.0	0.0	5.0	0.0	0.0	3910	inf	inf
21	CNAG_00020T0	14	60.0	3316	643	3912	206.0	523.0	686.0	0.0	8.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	3910	inf	inf
21	CNAG_00020T0	14	60.0	3316	643	3912	206.0	523.0	686.0	0.0	9.0	0.0	2.0	1.0	110.0	7.0	0.0	80.0	5.0	1.0	3910	inf	1.0
22	CNAG_00021T0	3	13.0	906	42	343	76.0	40.0	57.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2054	inf	inf
23	CNAG_00022T0	2	12.0	1021	76	447	99.0	57.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1247	0.0	0.0
24	CNAG_00023T0	1	3.0	201	30	217	4.0	34.0	47.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1712	inf	inf
25	CNAG_00024T0	43	211.0	8385	1288	7239	830.0	1362.0	1602.0	0.0	1.0	0.0	0.0	1.0	131.0	40.0	0.0	62.0	7.0	1.0	4213	inf	1.0
25	CNAG_00024T0	43	211.0	8385	1288	7239	830.0	1362.0	1602.0	0.0	2.0	0.0	0.0	0.0	88.0	29.0	0.0	70.0	10.0	0.0	4213	inf	inf
25	CNAG_00024T0	43	211.0	8385	1288	7239	830.0	1362.0	1602.0	0.0	3.0	0.0	0.0	0.0	6.0	2.0	0.0	3.0	0.0	0.0	4213	inf	inf
26	CNAG_00024T1	43	211.0	8385	1288	7239	830.0	1362.0	1602.0	0.0	1.0	0.0	0.0	1.0	131.0	40.0	0.0	62.0	7.0	1.0	4213	inf	1.0
26	CNAG_00024T1	43	211.0	8385	1288	7239	830.0	1362.0	1602.0	0.0	2.0	0.0	0.0	0.0	88.0	29.0	0.0	70.0	10.0	0.0	4213	inf	inf
27	CNAG_00024T2	43	211.0	8385	1288	7239	830.0	1362.0	1602.0	0.0	1.0	0.0	0.0	1.0	131.0	40.0	0.0	62.0	7.0	1.0	4213	inf	1.0
27	CNAG_00024T2	43	211.0	8385	1288	7239	830.0	1362.0	1602.0	0.0	2.0	0.0	0.0	0.0	88.0	29.0	0.0	70.0	10.0	0.0	4213	inf	inf
27	CNAG_00024T2	43	211.0	8385	1288	7239	830.0	1362.0	1602.0	0.0	3.0	0.0	0.0	0.0	3.0	1.0	0.0	2.0	0.0	0.0	4213	inf	inf
28	CNAG_00025T0	17	45.0	3949	474	2525	299.0	541.0	474.0	0.0	1.0	0.0	0.0	0.0	1.0	3.0	0.0	5.0	0.0	0.0	3724	inf	inf
28	CNAG_00025T0	17	45.0	3949	474	2525	299.0	541.0	474.0	0.0	2.0	0.0	0.0	0.0	5.0	1.0	0.0	1.0	0.0	0.0	3724	inf	inf
28	CNAG_00025T0	17	45.0	3949	474	2525	299.0	541.0	474.0	0.0	3.0	0.0	0.0	0.0	6.0	0.0	0.0	5.0	0.0	0.0	3724	inf	inf
28	CNAG_00025T0	17	45.0	3949	474	2525	299.0	541.0	474.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3724	inf	inf
28	CNAG_00025T0	17	45.0	3949	474	2525	299.0	541.0	474.0	0.0	5.0	0.0	0.0	0.0	8.0	0.0	0.0	4.0	0.0	0.0	3724	inf	inf
28	CNAG_00025T0	17	45.0	3949	474	2525	299.0	541.0	474.0	0.0	6.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0	0.0	0.0	3724	inf	inf
28	CNAG_00025T0	17	45.0	3949	474	2525	299.0	541.0	474.0	0.0	7.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	3724	inf	inf
28	CNAG_00025T0	17	45.0	3949	474	2525	299.0	541.0	474.0	0.0	8.0	0.0	0.0	0.0	4.0	0.0	0.0	3.0	0.0	0.0	3724	inf	inf
29	CNAG_00025T1	17	45.0	3949	474	2525	299.0	541.0	474.0	0.0	1.0	0.0	0.0	0.0	39.0	5.0	0.0	27.0	1.0	0.0	3724	inf	inf
29	CNAG_00025T1	17	45.0	3949	474	2525	299.0	541.0	474.0	0.0	2.0	0.0	0.0	0.0	1.0	3.0	0.0	5.0	0.0	0.0	3724	inf	inf
29	CNAG_00025T1	17	45.0	3949	474	2525	299.0	541.0	474.0	0.0	3.0	0.0	0.0	0.0	5.0	1.0	0.0	1.0	0.0	0.0	3724	inf	inf
29	CNAG_00025T1	17	45.0	3949	474	2525	299.0	541.0	474.0	0.0	4.0	0.0	0.0	0.0	6.0	0.0	0.0	5.0	0.0	0.0	3724	inf	inf
29	CNAG_00025T1	17	45.0	3949	474	2525	299.0	541.0	474.0	0.0	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3724	inf	inf
29	CNAG_00025T1	17	45.0	3949	474	2525	299.0	541.0	474.0	0.0	6.0	0.0	0.0	0.0	8.0	0.0	0.0	4.0	0.0	0.0	3724	inf	inf
29	CNAG_00025T1	17	45.0	3949	474	2525	299.0	541.0	474.0	0.0	7.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0	0.0	0.0	3724	inf	inf
29	CNAG_00025T1	17	45.0	3949	474	2525	299.0	541.0	474.0	0.0	8.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	3724	inf	inf
29	CNAG_00025T1	17	45.0	3949	474	2525	299.0	541.0	474.0	0.0	9.0	0.0	0.0	0.0	4.0	0.0	0.0	3.0	0.0	0.0	3724	inf	inf
30	CNAG_00026T0	13	29.0	2415	378	2818	249.0	305.0	399.0	0.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	2110	inf	inf
30	CNAG_00026T0	13	29.0	2415	378	2818	249.0	305.0	399.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	2110	inf	inf
30	CNAG_00026T0	13	29.0	2415	378	2818	249.0	305.0	399.0	0.0	3.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	2110	inf	inf
30	CNAG_00026T0	13	29.0	2415	378	2818	249.0	305.0	399.0	0.0	4.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	2110	inf	inf
30	CNAG_00026T0	13	29.0	2415	378	2818	249.0	305.0	399.0	0.0	5.0	0.0	0.0	0.0	5.0	2.0	0.0	5.0	0.0	0.0	2110	inf	inf
31	CNAG_00026T1	13	29.0	2415	378	2818	249.0	305.0	399.0	0.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	2110	inf	inf
31	CNAG_00026T1	13	29.0	2415	378	2818	249.0	305.0	399.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	2110	inf	inf
31	CNAG_00026T1	13	29.0	2415	378	2818	249.0	305.0	399.0	0.0	3.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	2110	inf	inf
31	CNAG_00026T1	13	29.0	2415	378	2818	249.0	305.0	399.0	0.0	4.0	0.0	0.0	1.0	1.0	8.0	2.0	2.0	1.0	1.0	2110	0.5	1.0
31	CNAG_00026T1	13	29.0	2415	378	2818	249.0	305.0	399.0	0.0	5.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	2110	inf	inf
31	CNAG_00026T1	13	29.0	2415	378	2818	249.0	305.0	399.0	0.0	6.0	0.0	0.0	0.0	5.0	2.0	0.0	5.0	0.0	0.0	2110	inf	inf
32	CNAG_00027T0	4	30.0	1026	265	2161	69.0	238.0	346.0	0.0	1.0	0.0	0.0	0.0	4.0	1.0	0.0	2.0	0.0	0.0	3902	inf	inf
32	CNAG_00027T0	4	30.0	1026	265	2161	69.0	238.0	346.0	0.0	2.0	0.0	1.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	3902	inf	inf
32	CNAG_00027T0	4	30.0	1026	265	2161	69.0	238.0	346.0	0.0	3.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	3902	inf	inf
32	CNAG_00027T0	4	30.0	1026	265	2161	69.0	238.0	346.0	0.0	4.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	3902	inf	inf
32	CNAG_00027T0	4	30.0	1026	265	2161	69.0	238.0	346.0	0.0	5.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	1.0	0.0	3902	inf	inf
32	CNAG_00027T0	4	30.0	1026	265	2161	69.0	238.0	346.0	0.0	6.0	0.0	0.0	0.0	6.0	1.0	0.0	2.0	0.0	0.0	3902	inf	inf
32	CNAG_00027T0	4	30.0	1026	265	2161	69.0	238.0	346.0	0.0	7.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	0.0	3902	inf	inf
32	CNAG_00027T0	4	30.0	1026	265	2161	69.0	238.0	346.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3902	inf	inf
33	CNAG_00028T0	4	18.0	489	284	2226	44.0	251.0	347.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2466	inf	inf
33	CNAG_00028T0	4	18.0	489	284	2226	44.0	251.0	347.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2466	inf	inf
33	CNAG_00028T0	4	18.0	489	284	2226	44.0	251.0	347.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2466	inf	inf
33	CNAG_00028T0	4	18.0	489	284	2226	44.0	251.0	347.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2466	inf	inf
33	CNAG_00028T0	4	18.0	489	284	2226	44.0	251.0	347.0	0.0	5.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	2466	inf	inf
33	CNAG_00028T0	4	18.0	489	284	2226	44.0	251.0	347.0	0.0	6.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2466	inf	inf
33	CNAG_00028T0	4	18.0	489	284	2226	44.0	251.0	347.0	0.0	7.0	0.0	0.0	0.0	5.0	1.0	0.0	3.0	0.0	0.0	2466	inf	inf
33	CNAG_00028T0	4	18.0	489	284	2226	44.0	251.0	347.0	0.0	8.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2466	inf	inf
34	CNAG_00028T1	4	18.0	489	284	2226	44.0	251.0	347.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2466	inf	inf
34	CNAG_00028T1	4	18.0	489	284	2226	44.0	251.0	347.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2466	inf	inf
34	CNAG_00028T1	4	18.0	489	284	2226	44.0	251.0	347.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2466	inf	inf
34	CNAG_00028T1	4	18.0	489	284	2226	44.0	251.0	347.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2466	inf	inf
34	CNAG_00028T1	4	18.0	489	284	2226	44.0	251.0	347.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2466	inf	inf
