	Five_p_Score	Three_p_Score	150904CM018-A_end	150904CM018-B_end	150904CM018-W_end	150904CM763-A_end	150904CM763-B_end	150904CM763-W_end	150904CM764-A_end	150904CM764-B_end	150904CM018-A_total	150904CM018-B_total	150904CM018-W_total	150904CM763-A_total	150904CM763-B_total	150904CM763-W_total	150904CM764-A_total	150904CM764-B_total	Length	150904CM763-A_end_norm	150904CM764-A_end_norm
CNAG_00031T0-10	5.97020757021	12.8988196988	0	0	0	0	1	0	0	1	3.0	6.0	539.0	86.0	660.0	44.0	74.0	87.0	3712	0.0	0.0
CNAG_00031T0-2	5.8265635599	8.91059557726	0	0	0	0	0	0	2	0	3.0	6.0	539.0	86.0	660.0	44.0	74.0	87.0	3712	0.0	0.0449934688334
CNAG_00031T0-3	6.4881291548	12.8651200651	0	0	0	2	0	0	0	0	3.0	6.0	539.0	86.0	660.0	44.0	74.0	87.0	3712	0.0305807605023	0.0
CNAG_00031T0-4	6.48861755528	10.8464523131	0	0	0	0	0	0	0	0	3.0	6.0	539.0	86.0	660.0	44.0	74.0	87.0	3712	0.0	0.0
CNAG_00031T0-5	5.47019400353	11.9100257767	0	0	0	1	0	0	0	0	3.0	6.0	539.0	86.0	660.0	44.0	74.0	87.0	3712	0.00764519012557	0.0
CNAG_00031T0-6	7.5849681183	11.5292904626	0	0	0	1	0	0	1	0	3.0	6.0	539.0	86.0	660.0	44.0	74.0	87.0	3712	0.00764519012557	0.0112483672083
CNAG_00031T0-7	5.78032831366	13.7720255054	0	0	0	1	0	0	0	0	3.0	6.0	539.0	86.0	660.0	44.0	74.0	87.0	3712	0.00764519012557	0.0
CNAG_00031T0-8	5.38499525166	13.541283408	0	0	0	0	0	0	0	0	3.0	6.0	539.0	86.0	660.0	44.0	74.0	87.0	3712	0.0	0.0
CNAG_00031T0-9	5.8908696242	13.2444444444	0	0	0	3	0	0	0	0	3.0	6.0	539.0	86.0	660.0	44.0	74.0	87.0	3712	0.0688067111302	0.0
CNAG_00032T0-1	5.51181657848	13.36003256	0	0	0	2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2590	0.0	0.0
CNAG_00034T0-1	5.46970560304	13.5204992538	1	1	2	294	85	0	157	12	48.0	137.0	22463.0	1333.0	6385.0	2876.0	983.0	1026.0	1637	68.3071216035	23.5104359539
CNAG_00034T0-2	5.61638854972	10.9454890788	1	0	0	42	12	0	18	2	48.0	137.0	22463.0	1333.0	6385.0	2876.0	983.0	1026.0	1637	1.39402288987	0.309034088566
CNAG_00034T0-3	6.3826346493	13.0341066341	0	0	0	17	7	0	14	2	48.0	137.0	22463.0	1333.0	6385.0	2876.0	983.0	1026.0	1637	0.228385836265	0.186946547404
CNAG_00034T0-4	6.55520282187	10.9998100665	0	0	0	6	4	0	3	0	48.0	137.0	22463.0	1333.0	6385.0	2876.0	983.0	1026.0	1637	0.028449446732	0.00858428023794
CNAG_00035T0-1	5.8265635599	9.62702482702	0	0	0	0	1	0	0	0	3.0	7.0	177.0	81.0	447.0	15.0	72.0	90.0	4953	0.0	0.0
CNAG_00035T0-2	6.51075837743	9.12191018858	0	0	0	0	0	0	0	0	3.0	7.0	177.0	81.0	447.0	15.0	72.0	90.0	4953	0.0	0.0
CNAG_00035T0-3	6.09133089133	13.6129154796	0	0	0	0	0	0	0	0	3.0	7.0	177.0	81.0	447.0	15.0	72.0	90.0	4953	0.0	0.0
CNAG_00035T0-4	7.05375118708	11.3310541311	0	0	0	0	1	0	1	0	3.0	7.0	177.0	81.0	447.0	15.0	72.0	90.0	4953	0.0	0.0108734216347
CNAG_00035T0-5	5.34288427622	13.2576855244	0	0	0	1	1	0	1	0	3.0	7.0	177.0	81.0	447.0	15.0	72.0	90.0	4953	0.0112882001854	0.0108734216347
CNAG_00036T0-1	5.59701533035	9.52733686067	0	0	0	1	1	0	1	1	4.0	12.0	1074.0	332.0	1642.0	19.0	420.0	392.0	1571	0.00307297532453	0.00249644884471
CNAG_00036T0-2	7.44805318139	13.8796906797	0	0	0	3	0	0	0	0	4.0	12.0	1074.0	332.0	1642.0	19.0	420.0	392.0	1571	0.0276567779208	0.0
CNAG_00036T0-3	5.59701533035	10.2542395876	0	0	0	6	1	0	4	0	4.0	12.0	1074.0	332.0	1642.0	19.0	420.0	392.0	1571	0.110627111683	0.0399431815153
CNAG_00036T0-4	7.48452041785	11.3749559083	0	0	1	2	0	0	1	0	4.0	12.0	1074.0	332.0	1642.0	19.0	420.0	392.0	1571	0.0122919012981	0.00249644884471
CNAG_00036T0-5	5.75818749152	11.7554741555	0	0	0	0	0	0	1	0	4.0	12.0	1074.0	332.0	1642.0	19.0	420.0	392.0	1571	0.0	0.00249644884471
CNAG_00036T0-6	6.42740469407	13.3737620404	0	0	0	8	1	0	4	0	4.0	12.0	1074.0	332.0	1642.0	19.0	420.0	392.0	1571	0.19667042077	0.0399431815153
